"施設名称","所在地","緯度","経度"
"東京慈恵会医科大学附属病院","東京都港区西新橋三丁目19番18号","35.6635563","139.751238"
"国際医療福祉大学三田病院","東京都港区三田一丁目4番3号","35.6537683","139.7424196"
"東京都済生会中央病院","東京都港区三田一丁目4番17号","35.6534434","139.7442611"
"国家公務員共済組合連合会 虎の門病院","東京都港区虎ノ門二丁目2番2号","35.6688611","139.7465188"
"医療法人財団 厚生会 古川橋病院","東京都港区南麻布二丁目10番21号","35.6479605","139.735226"
"社会福祉法人恩賜財団母子愛育会総合母子保健センター 愛育病院","東京都港区芝浦一丁目16番10号","35.6459585","139.7524023"
"医療法人社団友仁会 赤坂見附前田病院","東京都港区元赤坂一丁目1番5号","35.6782901","139.7339056"
"医療法人財団 順和会 山王病院","東京都港区赤坂八丁目10番16号","35.6700659","139.727101"
"独立行政法人 地域医療機能推進機構 東京高輪病院","東京都港区高輪三丁目10番11号","35.6311346","139.7315796"
"北里研究所病院","東京都港区白金五丁目9番1号","35.6455938","139.7254492"
"東京大学医科学研究所附属病院","東京都港区白金台四丁目6番1号","35.6398361","139.7249049"
"公益財団法人　心臓血管研究所付属病院","東京都港区西麻布三丁目2番19号","35.6659692","139.7281316"
"医療法人財団　厚生会介護老人保健施設　ルネサンス麻布","東京都港区南麻布二丁目10番21号","35.6479605","139.735226"
"港区立 特別養護老人ホーム 白金の森","東京都港区白金台五丁目20番5号","35.6370753","139.7219914"
"社会福祉法人 恩賜財団 慶福育児会 特別養護老人ホーム　麻布慶福苑","東京都港区南麻布五丁目1番20号","35.6537122","139.7218381"
"港区立 特別養護老人ホーム 港南の郷","東京都港区港南三丁目3番23号","35.6332877","139.7492114"
"社会福祉法人葵新生会特別養護老人ホーム ベル","東京都港区西麻布四丁目7番2号","35.6561258","139.7222713"
"港区立ケアハウス 港南の郷","東京都港区港南三丁目3番23号","35.6332877","139.7492114"
"港区立 特別養護老人ホーム サン・サン赤坂","東京都港区赤坂六丁目6番14号","35.6699662","139.7376307"
"社会福祉法人 長岡福祉協会 特別養護老人ホーム　新橋さくらの園","東京都港区新橋六丁目19番2号","35.6611817","139.7537878"
"社会福祉法人 長岡福祉協会 介護老人保健施設　新橋ばらの園","東京都港区新橋六丁目19番2号","35.6611817","139.7537878"
"グッドタイムリビング芝浦アイランド","東京都港区芝浦四丁目20番4号","35.6389537","139.7518525"
"特別養護老人ホームありすの杜きのこ南麻布","東京都港区南麻布四丁目6番1号 南棟","35.6502766","139.7266795"
"特別養護老人ホーム  洛和ヴィラ南麻布","東京都港区南麻布四丁目6番1号 北棟","35.6502766","139.7266795"
"介護老人保健施設  洛和ヴィラサラサ","東京都港区南麻布四丁目6番1号 北棟","35.6502766","139.7266795"
"ケアハウス ありすの杜 きのこ南麻布","東京都港区南麻布四丁目6番1号 南棟","35.6502766","139.7266795"
"アリア高輪","東京都港区高輪四丁目6番23号","35.6276545","139.7322658"
"特別養護老人ホーム 南麻布シニアガーデンアリス","東京都港区南麻布四丁目6番13号","35.650549","139.727514"
"港区立障害者支援ホーム南麻布","東京都港区南麻布四丁目6番13号","35.650549","139.727514"
"グランクレール芝浦ケアレジデンス","東京都港区芝浦四丁目18番25号","35.637459","139.749117"

"不在者投票指定施設","Ver202304",,
