"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202304","東京シティクリニック三田","東京都港区芝四丁目5番8号","池藤ビル2階","03-5439-5566","2023/4/1","小児科、アレルギー科","35.648842","139.751266"
"202304","山本クリニック　東京","東京都港区芝大門一丁目2番4号","6階","03-5843-7120","2023/4/5","男性泌尿器科","35.660018","139.754505"
"202304","医療法人社団みなとあおば　白金あおば皮フ科クリニック","東京都港区白金一丁目2番2号","白金ザ・スカイ西棟1階W111","03-6456-2033","2023/4/3","皮膚科、アレルギー科、小児皮膚科、美容皮膚科","35.646231","139.735073"
"202304","アルト新橋胃腸肛門クリニック","東京都港区新橋一丁目15番7号","新橋NFビル4F","03-5157-5841","2023/4/1","内視鏡内科、胃腸内科、消化器内科、肛門内科、内科","35.668089","139.757282"
"202304","新橋メンタルクリニック","東京都港区新橋一丁目18番14号","新橋MMビル5階","03-3507-5560","2023/4/1","心療内科、精神科","35.668438","139.756004"
"202304","五良会クリニック白金高輪","東京都港区高輪一丁目3番1号","プレミストタワー白金高輪1階・2階","03-6432-5353","2023/4/28","内科、小児科、消化器内科、気管食道内科、糖尿病内科、脂質代謝内科、代謝内科、内分泌内科、胃腸内科、内視鏡内科、アレルギー疾患内科、アレルギー科、漢方内科、腫瘍内科、老年内科、皮膚科、小児皮膚科、形成外科、美容皮膚科、美容外科、女性内科","35.643617","139.735347"
"202304","医療法人社団ＮＬＣ　西麻布ライフケアクリニック","東京都港区西麻布四丁目4番3号","フリーディオ西麻布1階","03-3797-1717","2023/4/1","外科、消化器内科（胃腸内科）、小児科","35.657182","139.723702"
"202304","医療法人社団東雲会　新橋－虎ノ門内視鏡クリニック","東京都港区西新橋一丁目17番8号","須田ビル1F","03-6205-4106","2023/4/1","内科、消化器内科、消化器外科","35.667238","139.753728"
"202304","ｅｃｌｉｎｉｃ　東京院","東京都港区浜松町一丁目6番15号","VORT浜松町1 2階","03-6824-5772","2023/4/1","美容外科、美容皮膚科","35.659052","139.757423"
"202304","Ｔケアクリニック　浜松町","東京都港区浜松町二丁目13番9号","G1ビル2階","03-5422-1011","2023/4/6","内科、美容皮膚科","35.653219","139.755529"
"202304","慶應義塾大学　三田健診診療所","東京都港区三田二丁目15番45号","慶應義塾大学 三田キャンパス",,"2023/4/26","内科","35.648366","139.743172"
"202304","新赤坂クリニック青山","東京都港区南青山二丁目2番3号","ヒューリック青山外苑東通ビル2階","03-5770-1250","2023/4/1","内科、消化器内科、循環器内科、血液内科、リウマチ科","35.671421","139.724187"
"202304","一般社団法人Ｍｅｄｉｖａｔｅ　ラボーテクリニック","東京都港区南青山二丁目2番15号","ウィン青山332",,"2023/4/27","内科、皮膚科、泌尿器科、婦人科","35.671444","139.723779"
"202304","キッズハートクリニック外苑前","東京都港区南青山二丁目11番13号","青山サクセスビル5階","03-3423-7701","2023/4/3","児童精神科、精神科、心療内科","35.671437","139.720843"
"202304","一般社団法人南風会　南の風ＭＣ","東京都港区南青山二丁目12番15号","南青山2丁目ビル9階","03-6804-2110","2023/4/1","心療内科、精神科、老人内科","35.671275","139.720594"
"202304","医療法人晃和会ウェルエイジングクリニック南青山","東京都港区南青山五丁目4番27号","Barbizon104 5階501号","03-6805-1920","2023/4/25","美容皮膚科、皮膚科、内科","35.661330","139.714554"
"202304","レカルカクリニック表参道","東京都港区南青山五丁目6番24号","Barbizon23 2階","03-6427-4190","2023/4/1","美容皮膚科","35.663553","139.712078"
"202304","日本美容・医療クリニック","東京都港区六本木六丁目1番26号","天城ビル6階","03-6804-5141","2023/4/18","美容皮膚科、美容外科","35.662959","139.732196"
"202305","声のクリニック赤坂","東京都港区赤坂二丁目17番65号","ウィンド赤坂2ビル2階","03-5797-8558","2023/5/1","耳鼻いんこう科","35.670819","139.738957"
"202305","ＱＵＩＣ　ＢＥＡＵＴＹ　ＣＬＩＮＩＣ","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂804号室","03-6756-5181","2023/5/10","内科、精神科、皮膚科、美容皮膚科","35.666545","139.728445"
"202305","医療法人社団佐伯耳鼻咽喉科","東京都港区芝五丁目13番14号","MAビル芝3 501","03-3456-1187","2023/5/1","耳鼻いんこう科、小児科、アレルギー科","35.649132","139.744985"
"202305","田町眼科クリニック","東京都港区芝五丁目27番14号","小川ビル2階","03-5232-1366","2023/5/1","眼科","35.646941","139.746143"
"202305","田町三田駅前内科・呼吸器内科・アレルギー科","東京都港区芝五丁目31番5号","MEFULL田町2F","03-5442-4159","2023/5/1","内科、呼吸器内科、アレルギー科","35.646742","139.746183"
"202305","芝浦クリニック","東京都港区芝浦三丁目16番1号","中野興産ビル1階","03-5765-5264","2023/5/1","内科、消化器内科、整形外科、小児科","35.642165","139.749756"
"202305","ＮＡＧ整形外科","東京都港区白金台五丁目6番9号","ウィンドベース白金5階","03-6432-5880","2023/5/4","整形外科","35.640120","139.722295"
"202305","白金高輪駅前内科・糖尿病クリニック","東京都港区高輪一丁目4番13号","2階","03-6456-2939","2023/5/1","内科、糖尿病内科","35.643458","139.735714"
"202305","麻布十番ジャガークリニック","東京都港区東麻布三丁目7番13号","MD麻布2階","03-3583-2837","2023/5/1","内科、小児科、外科","35.656335","139.738079"
"202305","Ｅｉｒ　Ｃｌｉｎｉｃ","東京都港区南青山二丁目7番8号",,"03-5843-1900","2023/5/19","皮膚科、美容皮膚科、内科","35.670314","139.723063"
"202305","ＲＥＮＡＴＡ　ＣＬＩＮＩＣ　表参道院","東京都港区南青山五丁目11番2号","SANWA南青山Bldg.8階","03-6433-5300","2023/5/1","美容外科、美容皮膚科","35.669439","139.716711"
"202305","東京ＴＭＳマインドフルネスクリニック","東京都港区南青山六丁目2番10号","バックボーンハウス3F","03-6421-0983","2023/5/30","心療内科、精神科","35.660934","139.715496"
"202306","センクサスクリニック","東京都港区赤坂一丁目12番32号","アーク森ビル24階",,"2023/6/1","内科","35.667113","139.740135"
"202306","フォーシーズンズ美容皮膚科　東京竹芝院","東京都港区海岸一丁目10番30号","アトレ竹芝タワー棟3階","03-6803-4908","2023/5/12","皮膚科、美容皮膚科、美容外科","35.655884","139.762831"
"202306","ＫＵＭＩＫＯ　ＣＬＩＮＩＣ","東京都港区白金台四丁目19番13号","白金台TFビル2F・3F","03-6206-6777","2023/6/5","美容皮膚科","35.638684","139.723233"
"202306","Ｌｉｖｅｌｙ　Ｃｌｉｎｉｃ","東京都港区浜松町一丁目27番9号","トラスト浜松町ビル5階","03-6809-1297","2023/6/1","美容皮膚科","35.656905","139.755245"
"202306","ＹＯＵＲ　ＦＡＣＥ　ＣＬＩＮＩＣ","東京都港区東新橋一丁目8番2号","カレッタ汐留47階","03-6280-6840","2023/6/1","美容外科、美容皮膚科","35.664459","139.762522"
"202306","Ｅｉｒ　Ｃｌｉｎｉｃ","東京都港区南青山二丁目7番8号",,"03-5843-1900","2023/6/15","内科、皮膚科、美容皮膚科","35.670314","139.723063"
"202306","広尾訪問クリニック","東京都港区南麻布四丁目5番56号","キャッスル佐藤102号",,"2023/6/27","内科","35.650121","139.724111"
"202306","やとみクリニック","東京都港区六本木七丁目15番17号","ユニ六本木ビル6階",,"2023/6/7","耳鼻いんこう科","35.662292","139.729638"
"202307","パルフェクリニック・医科歯科","東京都港区北青山三丁目11番7号","AOビル3階","03-6452-6035","2023/7/17","内科、歯科、小児歯科、歯科口腔外科、矯正歯科","35.663812","139.710655"
"202307","武村医院","東京都港区北青山三丁目12番2号","1階","03-3407-7826","2023/7/1","内科、呼吸器内科、皮膚科","35.663689","139.710025"
"202307","白金医療美容クリニック","東京都港区白金台五丁目18番18号","Barbizon18ビル5階","03-5422-7185","2023/7/1","美容皮膚科","35.637305","139.723608"
"202307","ルナレディースクリニック新橋銀座口院","東京都港区新橋一丁目5番5号","グランベル銀座ビル2　10階","050-1753-0802","2023/7/1","婦人科、内科","35.667631","139.760077"
"202307","医療法人社団ゆかり会　虎ノ門ウィメンズクリニック","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-3502-1211","2023/7/7","産婦人科","35.670054","139.750888"
