港　湾　名,主　　管　　課,郵便番号,所　　在　　地,電　　話
函館,函館市 港湾空港部 管理課,040-8666,函館市東雲町4-13,0138-21-3484
苫小牧,苫小牧港管理組合 施設部 計画課,053-0003,苫小牧市入船町3-4-21,0144-34-6684
八戸,青森県 県土整備部 港湾空港課,030-8570,青森市長島1丁目1番1号,017-734-9676
釜石,釜石市 産業振興部 港湾振興課,026-8686,"釜石市只越町3丁目9番13号
   第3庁舎２F",0193-27-8425
大船渡,大船渡市 商工港湾部 企業立地港湾課,022-8501,大船渡市盛町字宇津野沢15,0192-27-3111
仙台塩釜,宮城県 土木部 港湾課,980-8570,仙台市青葉区本町3-8-1,022-211-3214
小名浜,福島県 土木部 港湾課,960-8670,福島市杉妻町2-16,024-521-7497
鹿島,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
那珂湊,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
茨城,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
千葉,千葉県 県土整備部 港湾課,260-8667,"千葉市中央区市場町1-1
   中庁舎5F",043-223-3835
川崎,川崎市 港湾局 港湾振興部 誘致振興課,210-0007,"川崎市川崎区駅前本町12-１
   川崎駅前タワー・リバーク20F",044-200-3064
横浜,横浜市 港湾局 港湾物流部 物流運営課,231-0023,"横浜市中区山下町2
   産業貿易センタービル5F",045-671-7190
清水,静岡県 清水港管理局 企画振興課,424-0922,静岡市清水区日の出町9-25,054-353-2203
御前崎,静岡県 御前崎港管理事務所 企画振興課,437-1623,静岡県御前崎市港6129-1,0548-63-3213
三河,愛知県 三河港務所 総務課,441-8075,豊橋市神野ふ頭町3番地9,0532-31-4155
名古屋,名古屋港管理組合 企画調整室 統計センター,455-0033,名古屋市港区港町1-11,052-654-7841
四日市,四日市港管理組合 経営企画部　企画課,510-0011,四日市市霞２-1-1,059-327-7156
大阪,大阪市 港湾局 計画整備部 計画課,559-0034,"大阪市住之江区南港北2-1-10
   ATCビルITM棟10F",06-6615-7768
神戸,神戸市 港湾局 みなと振興部 ポートセールス課,650-0046,"神戸市中央区港島中町4-1-1
　ポートアイランドビル7F",078-595-6290
和歌山下津,和歌山県 県土整備部 港湾空港局 港湾空港振興課　,640-8585,和歌山市小松原通１-１,073-441-3157
宇野,岡山県 宇野港管理事務所,706-0011,玉野市宇野1-8-9,0863-31-3211
広島,広島県 土木建築局 港湾振興課,730-8511,広島市中区基町10-52,082-513-4035
岩国,山口県 土木建築部 港湾課,753-8501,"山口市滝町1-1
   山口県庁11F",083-933-3817
徳山下松,山口県 土木建築部 港湾課,753-8501,"山口市滝町1-1
   山口県庁11F",083-933-3817
三島川之江,愛媛県 土木部 河川港湾局 港湾海岸課,790-8570,松山市一番町4-4-2,089-912-2690
松山,愛媛県 土木部 河川港湾局 港湾海岸課,790-8570,松山市一番町4-4-2,089-912-2690
北九州,北九州市 港湾空港局 みなと振興部 物流振興課,801-8555,北九州市門司区西海岸1-2-7,093-321-5941
博多,福岡市 港湾空港局　総務部　総務企画課,812-8620,"福岡市博多区沖浜町12-1
   博多港センタービル8F",092-282-7120
志布志,鹿児島県 土木部 港湾空港課,890-8577,鹿児島市鴨池新町10番1号,099-286-2111
那覇,那覇港管理組合 総務課,900-0035,沖縄県那覇市通堂町2-1,098-868-2578
,,,,
国土交通省,総合政策局　情報政策課　交通経済統計調査室,100-8918,千代田区霞ヶ関2-1-2,03-5253-8348
国土交通省,港湾局　計画課  企画室　,100-8918,千代田区霞ヶ関2-1-3,03-5253-8670
国土交通省,関東地方整備局 港湾空港部 港湾計画課,231-8436,"横浜市中区北仲通5-57
   横浜第２合同庁舎14F",045-211-7415
,,,,
