"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202404","赤坂矯正歯科","東京都港区赤坂六丁目3番16号","1階","03-6230-9959","2024/4/6","矯正歯科","35.671055","139.735379"
"202404","ひろこデンタルクリニック　ｐｌｕｓ　ｂｅａｕｔｙ","東京都港区芝浦三丁目13番12号","PhilPark田町Shibaura6階","03-3453-9700","2024/4/2","歯科、小児歯科、矯正歯科","35.642906","139.748320"
"202404","ホワイトスマイルクリニック","東京都港区南青山一丁目17番14号","1階","03-6803-8720","2024/4/1","歯科","35.668447","139.725627"
"202404","こどもと女性の歯科クリニック","東京都港区元麻布一丁目4番27号","東光元麻布ハイム101号室","03-6435-2281","2024/4/1","歯科、小児歯科、矯正歯科","35.653393","139.736423"
"202405","エバーデンタルオフィス","東京都港区赤坂四丁目2番5号","赤坂ヤブタビル401","03-3583-0418","2024/5/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.675695","139.735677"
"202405","グラン麻布十番ホワイト歯科","東京都港区麻布十番三丁目1番5号","ストーク麻布K&S 6階602号室",,"2024/4/30","歯科","35.653191","139.736434"
"202405","パルフェクリニック・医科歯科","東京都港区北青山三丁目11番7号","AOビル3階","03-6452-6053","2024/4/23","歯科、小児歯科、矯正歯科、歯科口腔外科、内科","35.663812","139.710655"
"202405","医療法人社団麗櫻会　歯科矯正クイン","東京都港区南青山二丁目22番2号","クインビル5階","03-3746-8666","2024/5/1","矯正歯科","35.670576","139.719300"
"202405","医療法人社団ＭＯＲＩ　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ　Ｍｏｒｉ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区南青山六丁目2番9号","NYKビル2階","03-6805-1526","2024/5/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.660861","139.715613"
"202406","岡田歯科医院","東京都港区北青山二丁目12番11号","第4イノセビル1階","03-3408-0108","2024/6/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670989","139.716595"
"202406","Ｌｉｏｎ　Ｈｅａｒｔ　Ｄｅｎｔａｌ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｌｉｎｉｃ","東京都港区新橋六丁目19番19号","アセンド新橋1階","03-3459-4976","2024/6/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.660726","139.753048"
"202407","麻布十番はな歯科","東京都港区麻布十番四丁目6番8号","麻布十番アクティブビル3階","03-6453-6033","2024/7/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.653070","139.736972"
"202407","井本歯科医院","東京都港区南青山三丁目18番11号","ヴァンセットビル402","03-6432-9787","2024/7/1","歯科","35.664675","139.713596"

"歯科診療所開設一覧(令和6年7月31日現在)","Ver202407",,,,,,,
