月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,43.91,43.30,42.80,43.32,42.72,-1.39
2,,,,,,42.52,42.30,42.20,42.35,42.17,-0.55
3,,,,,,42.06,41.97,41.75,41.92,41.60,-0.57
4,,,,,,41.57,41.54,41.48,41.53,41.46,-0.14
5,,,,,,41.39,41.08,40.98,41.14,40.90,-0.56
6,,,,,,40.81,40.74,40.68,40.74,40.70,-0.20
7,,,,,,40.59,40.35,40.27,40.40,40.24,-0.46
8,,,,,,40.25,40.22,40.34,40.27,40.43,0.19
9,,,,,,40.53,40.86,41.36,40.89,41.58,1.15
10,,,,,,41.88,42.41,43.28,42.55,43.68,2.10
11,,,,,,44.00,44.40,44.73,44.38,44.80,1.12
12,,,,,,44.79,44.67,44.51,44.65,44.55,-0.25
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,42.01,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.44
