月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.01,-0.03,-0.03,-0.07,-0.07,3.94,4.06,4.08,4.03,4.07,0.29
2,-0.02,-0.02,-0.01,-0.05,-0.12,4.09,4.11,4.21,4.13,4.27,0.20
3,0.02,0.07,0.03,0.12,0.00,4.28,4.23,4.22,4.24,4.22,-0.05
4,0.03,0.01,0.02,0.06,0.06,4.21,4.20,4.19,4.20,4.17,-0.05
5,0.02,0.01,0.03,0.06,0.12,4.14,4.10,4.12,4.12,4.15,-0.02
6,0.00,0.02,0.01,0.03,0.15,4.11,4.14,4.24,4.16,4.24,0.09
7,0.00,-0.01,0.01,0.00,0.15,4.21,4.19,4.18,4.19,4.16,-0.08
8,-0.01,0.07,0.03,0.09,0.24,4.16,4.12,4.34,4.21,4.45,0.29
9,-0.03,0.02,0.00,-0.01,0.23,4.45,4.48,4.62,4.52,4.69,0.24
10,0.00,-0.03,-0.07,-0.10,0.13,4.73,4.71,4.68,4.71,4.65,-0.04
11,-0.01,-0.01,-0.01,-0.03,0.10,4.65,4.61,4.64,4.63,4.62,-0.03
12,-0.03,-0.03,-0.01,-0.07,0.03,4.66,4.57,4.52,4.58,4.50,-0.12
1か年累計変動量(mm/年),,,,0.03,,,,,,,
平成7年3月観測開始以来累計変動量(mm),,,,-27.27,,,,,,,
1か年平均地下水位(m),,,,,,,,,4.31,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.72
