月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-5.72,-5.69,-5.68,-5.70,-5.67,0.09
2,,,,,,-5.66,-5.65,-5.65,-5.65,-5.61,0.06
3,,,,,,-5.64,-5.62,-5.62,-5.63,-5.62,-0.01
4,,,,,,-5.60,-5.59,-5.57,-5.59,-5.58,0.04
5,,,,,,-5.57,-5.58,-5.56,-5.57,-5.54,0.04
6,,,,,,-5.57,-5.59,-5.62,-5.60,-5.65,-0.11
7,,,,,,-5.68,-5.71,-5.78,-5.72,-5.81,-0.16
8,,,,,,-5.81,-5.85,-5.85,-5.84,-5.85,-0.04
9,,,,,,-5.90,-5.91,-5.90,-5.90,-5.91,-0.06
10,,,,,,-5.89,-5.86,-5.82,-5.86,-5.81,0.10
11,,,,,,-5.77,-5.73,-5.70,-5.73,-5.71,0.10
12,,,,,,-5.65,-5.62,-5.59,-5.62,-5.58,0.13
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-5.70,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.18
