月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-1.10,0.46,0.31,-0.33,-0.33,3.29,3.32,3.31,3.31,3.31,0.04
2,-0.81,0.21,0.70,0.10,-0.23,3.31,3.28,3.26,3.28,3.29,-0.02
3,-0.74,1.34,-0.94,-0.34,-0.57,3.25,3.26,3.26,3.26,3.26,-0.03
4,0.99,-0.76,0.04,0.27,-0.30,3.28,3.28,3.26,3.27,3.25,-0.01
5,-0.04,-0.43,0.00,-0.47,-0.77,3.25,3.25,3.25,3.25,3.27,0.02
6,-1.49,1.82,-0.02,0.31,-0.46,3.24,3.24,3.24,3.24,3.23,-0.04
7,-0.57,0.66,0.19,0.28,-0.18,3.22,3.22,3.18,3.21,3.17,-0.06
8,-0.74,2.25,2.32,3.83,3.65,3.19,3.19,3.25,3.21,3.28,0.11
9,-1.91,1.14,-0.10,-0.87,2.78,3.23,3.24,3.28,3.25,3.28,0.00
10,-1.97,-0.97,-1.42,-4.36,-1.58,3.30,3.33,3.36,3.33,3.35,0.07
11,-0.49,1.67,0.67,1.85,0.27,3.38,3.41,3.37,3.39,3.32,-0.03
12,-0.82,-0.22,0.22,-0.82,-0.55,3.35,3.35,3.36,3.35,3.34,0.02
1か年累計変動量(mm/年),,,,-0.55,,,,,,,
昭和36年6月観測開始以来累計変動量(mm),,,,-990.54,,,,,,,
1か年平均地下水位(m),,,,,,,,,3.28,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.07
