月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,87.81,87.69,87.19,87.55,87.01,-0.71
2,,,,,,86.87,86.83,86.72,86.81,86.70,-0.31
3,,,,,,86.67,86.68,86.67,86.67,86.65,-0.05
4,,,,,,86.60,86.54,86.57,86.57,86.69,0.04
5,,,,,,86.95,87.09,87.08,87.04,87.12,0.43
6,,,,,,87.09,87.15,87.14,87.13,87.11,-0.01
7,,,,,,87.08,87.13,87.07,87.09,87.06,-0.05
8,,,,,,87.17,87.23,87.69,87.37,88.07,1.01
9,,,,,,88.23,88.70,89.02,88.65,89.07,1.00
10,,,,,,88.80,88.37,88.22,88.45,88.18,-0.89
11,,,,,,88.14,88.08,88.02,88.08,87.91,-0.27
12,,,,,,88.00,87.91,87.82,87.91,87.79,-0.12
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,87.44,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.07
