月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.02,0.02,0.00,0.00,0.00,33.90,33.91,33.91,33.90,33.91,0.03
2,-0.04,0.10,0.00,0.06,0.06,33.92,33.92,33.92,33.92,33.94,0.03
3,0.09,0.03,-0.06,0.06,0.12,33.85,33.85,33.84,33.85,33.86,-0.08
4,-0.01,-0.02,0.00,-0.03,0.09,33.89,33.91,33.92,33.91,33.92,0.06
5,-0.01,-0.02,0.02,-0.01,0.08,33.90,33.89,33.89,33.89,33.91,-0.01
6,-0.04,0.02,-0.02,-0.04,0.04,33.88,33.90,33.90,33.89,33.88,-0.03
7,-0.03,0.02,0.00,-0.01,0.03,33.88,33.91,33.90,33.90,33.89,0.01
8,-0.03,0.05,0.03,0.05,0.08,33.91,33.90,33.99,33.94,34.02,0.13
9,-0.01,0.05,-0.04,0.00,0.08,33.97,33.96,34.00,33.98,33.98,-0.04
10,0.01,-0.04,-0.02,-0.05,0.03,33.97,33.94,33.94,33.95,33.90,-0.08
11,-0.02,0.03,0.05,0.06,0.09,33.92,33.93,33.92,33.93,33.90,0.00
12,-0.05,0.00,0.04,-0.01,0.08,33.94,33.94,33.95,33.95,33.94,0.04
1か年累計変動量(mm/年),,,,0.08,,,,,,,
昭和63年4月観測開始以来累計変動量(mm),,,,-4.75,,,,,,,
1か年平均地下水位(m),,,,,,,,,33.92,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.06
