月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.07,-0.04,0.00,-0.11,-0.11,-4.17,-4.13,-4.14,-4.15,-4.14,0.01
2,-0.17,0.12,-0.01,-0.06,-0.17,-4.14,-4.13,-4.15,-4.14,-4.10,0.04
3,0.02,0.03,-0.08,-0.03,-0.20,-4.15,-4.12,-4.10,-4.12,-4.11,-0.01
4,0.10,-0.09,0.05,0.06,-0.14,-4.08,-4.07,-4.05,-4.07,-4.06,0.05
5,0.02,-0.07,0.10,0.05,-0.09,-4.06,-4.06,-4.02,-4.05,-3.99,0.07
6,-0.16,0.12,-0.04,-0.08,-0.17,-4.02,-4.01,-4.01,-4.01,-4.03,-0.04
7,-0.11,0.03,-0.10,-0.18,-0.35,-4.02,-3.99,-4.04,-4.02,-4.05,-0.02
8,-0.03,0.12,-0.05,0.04,-0.31,-4.01,-4.00,-3.97,-3.99,-3.94,0.11
9,-0.15,0.11,-0.04,-0.08,-0.39,-4.00,-4.04,-4.03,-4.02,-4.05,-0.11
10,-0.10,-0.02,-0.14,-0.26,-0.65,-4.05,-4.03,-4.04,-4.04,-4.04,0.01
11,-0.09,0.10,-0.05,-0.04,-0.69,-4.02,-4.01,-4.02,-4.02,-4.05,-0.01
12,-0.13,-0.05,-0.03,-0.21,-0.90,-3.99,-3.99,-3.99,-3.99,-4.00,0.05
1か年累計変動量(mm/年),,,,0.90,,,,,,,
昭和47年4月観測開始以来累計変動量(mm),,,,-276.18,,,,,,,
1か年平均地下水位(m),,,,,,,,,-4.05,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.15
