月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,87.34,87.15,87.04,87.17,87.06,-0.30
2,,,,,,87.03,86.98,86.95,86.99,87.05,-0.01
3,,,,,,86.96,86.98,87.02,86.99,86.97,-0.08
4,,,,,,86.99,86.95,86.89,86.94,86.92,-0.05
5,,,,,,86.97,86.88,86.91,86.92,86.95,0.03
6,,,,,,86.90,86.98,87.05,86.97,87.02,0.07
7,,,,,,87.04,87.07,87.11,87.07,87.18,0.16
8,,,,,,87.19,87.28,87.68,87.39,87.90,0.72
9,,,,,,87.92,87.97,88.19,88.03,88.17,0.27
10,,,,,,88.16,87.99,87.81,87.98,87.75,-0.42
11,,,,,,87.67,87.62,87.58,87.62,87.48,-0.27
12,,,,,,87.51,87.45,87.41,87.46,87.44,-0.04
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,87.29,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.08
