月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-0.64,-0.80,-1.02,-0.83,-1.05,-0.24
2,,,,,,-1.07,-1.06,-1.03,-1.06,-1.00,0.05
3,,,,,,-1.15,-1.11,-1.09,-1.12,-1.12,-0.12
4,,,,,,-0.98,-1.00,-1.06,-1.01,-1.07,0.05
5,,,,,,-1.02,-1.21,-1.44,-1.23,-1.45,-0.38
6,,,,,,-1.54,-1.52,-1.41,-1.49,-1.37,0.08
7,,,,,,-1.39,-1.37,-1.26,-1.34,-1.23,0.14
8,,,,,,-1.28,-1.22,-0.90,-1.13,-0.78,0.45
9,,,,,,-0.87,-0.80,-0.57,-0.75,-0.59,0.19
10,,,,,,-0.56,-0.65,-0.72,-0.65,-0.74,-0.15
11,,,,,,-0.71,-0.74,-0.74,-0.73,-0.86,-0.12
12,,,,,,-0.83,-0.93,-0.93,-0.90,-0.93,-0.07
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-1.02,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.12
