月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,23.89,23.96,23.92,23.93,23.88,0.07
2,,,,,,23.85,23.82,23.80,23.82,23.82,-0.06
3,,,,,,23.79,23.92,23.88,23.86,23.80,-0.02
4,,,,,,23.76,23.77,23.80,23.77,23.78,-0.02
5,,,,,,23.77,23.59,23.39,23.57,23.33,-0.45
6,,,,,,23.21,23.13,23.07,23.14,23.06,-0.27
7,,,,,,23.05,22.97,22.87,22.96,22.83,-0.23
8,,,,,,22.80,22.77,22.93,22.84,22.97,0.14
9,,,,,,22.91,22.93,23.10,22.98,23.12,0.15
10,,,,,,23.19,23.41,23.66,23.43,23.75,0.63
11,,,,,,23.86,24.03,24.26,24.05,24.40,0.65
12,,,,,,24.55,24.66,24.74,24.65,24.80,0.40
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,23.58,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.99
