月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.14,-0.04,0.00,-0.18,-0.18,16.72,16.78,16.80,16.77,16.80,0.12
2,-0.12,-0.04,0.00,-0.16,-0.34,16.80,16.79,16.80,16.80,16.84,0.04
3,-0.05,0.04,0.01,0.00,-0.34,16.81,16.86,16.88,16.85,16.89,0.05
4,0.02,-0.10,-0.01,-0.09,-0.43,16.90,16.93,16.95,16.93,16.95,0.06
5,0.01,-0.05,-0.03,-0.07,-0.50,16.94,16.94,16.95,16.94,16.97,0.02
6,-0.10,0.00,-0.02,-0.12,-0.62,16.94,16.96,16.96,16.95,16.94,-0.03
7,-0.04,-0.13,0.00,-0.17,-0.79,16.93,16.95,16.94,16.94,16.94,0.00
8,-0.05,-0.03,0.33,0.25,-0.54,16.95,16.95,17.11,17.01,17.18,0.24
9,0.31,0.18,0.71,1.20,0.66,17.14,17.16,17.23,17.18,17.24,0.06
10,0.26,0.01,-0.04,0.23,0.89,17.24,17.23,17.24,17.24,17.20,-0.04
11,-0.04,0.00,0.44,0.40,1.29,17.24,17.25,17.30,17.26,17.29,0.09
12,-0.07,-0.09,-0.17,-0.33,0.96,17.35,17.39,17.44,17.39,17.44,0.15
1か年累計変動量(mm/年),,,,0.96,,,,,,,
昭和50年6月観測開始以来累計変動量(mm),,,,-114.95,,,,,,,
1か年平均地下水位(m),,,,,,,,,17.02,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.76
