月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.05,0.02,-0.05,-0.08,-0.08,81.81,81.25,80.75,81.25,80.53,-1.71
2,0.00,0.00,0.01,0.01,-0.07,80.34,80.11,79.97,80.15,79.93,-0.60
3,0.02,0.03,0.00,0.05,-0.02,79.82,79.73,79.59,79.71,79.54,-0.39
4,-0.01,0.01,-0.01,-0.01,-0.03,79.49,79.37,79.33,79.40,79.32,-0.22
5,0.02,-0.03,-0.02,-0.03,-0.06,79.34,79.40,79.31,79.35,79.29,-0.03
6,-0.02,0.03,0.00,0.01,-0.05,79.24,79.17,79.13,79.18,79.10,-0.19
7,-0.06,0.04,0.00,-0.02,-0.07,79.05,78.98,78.96,79.00,78.95,-0.15
8,-0.08,0.04,0.45,0.41,0.34,78.97,78.97,84.30,80.75,87.90,8.95
9,0.15,-0.01,0.02,0.16,0.50,88.17,90.40,91.42,90.05,91.16,3.26
10,-0.07,-0.10,-0.17,-0.34,0.16,86.20,83.33,82.30,83.89,82.00,-9.16
11,-0.16,0.01,-0.02,-0.17,-0.01,81.81,81.52,81.32,81.55,81.19,-0.81
12,0.00,0.00,-0.01,-0.01,-0.02,81.12,80.95,80.78,80.94,80.69,-0.50
1か年累計変動量(mm/年),,,,-0.02,,,,,,,
昭和60年4月観測開始以来累計変動量(mm),,,,-11.07,,,,,,,
1か年平均地下水位(m),,,,,,,,,81.27,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-1.55
