月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,16.82,16.59,16.22,16.53,16.20,-0.36
2,,,,,,16.04,16.14,16.11,16.09,15.89,-0.31
3,,,,,,16.13,16.83,16.75,16.57,16.69,0.80
4,,,,,,16.94,16.70,16.56,16.73,16.59,-0.10
5,,,,,,16.70,16.43,16.36,16.49,16.64,0.05
6,,,,,,16.69,16.70,16.81,16.73,16.82,0.18
7,,,,,,16.77,16.77,16.94,16.83,16.92,0.10
8,,,,,,16.83,16.57,16.74,16.72,16.82,-0.10
9,,,,,,16.74,17.00,17.34,17.03,17.38,0.56
10,,,,,,17.47,17.55,17.53,17.52,17.45,0.07
11,,,,,,17.41,17.50,17.46,17.46,17.36,-0.09
12,,,,,,17.28,17.16,17.14,17.19,16.98,-0.38
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,16.82,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.42
