月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.34,0.59,-0.34,-0.09,-0.09,-3.44,-3.43,-3.45,-3.44,-3.45,-0.01
2,-0.34,0.53,-0.23,-0.04,-0.13,-3.45,-3.46,-3.47,-3.46,-3.45,0.00
3,0.57,0.01,-0.50,0.08,-0.05,-3.47,-3.44,-3.42,-3.44,-3.43,0.02
4,0.29,-0.25,-0.12,-0.08,-0.13,-3.42,-3.41,-3.47,-3.43,-3.44,-0.01
5,0.00,-0.13,0.15,0.02,-0.11,-3.41,-3.40,-3.38,-3.40,-3.37,0.07
6,-0.09,0.50,-0.20,0.21,0.10,-3.38,-3.37,-3.36,-3.37,-3.37,0.00
7,-0.33,0.32,-0.30,-0.31,-0.21,-3.38,-3.40,-3.42,-3.40,-3.44,-0.07
8,0.01,0.48,0.25,0.74,0.53,-3.42,-3.43,-3.38,-3.41,-3.35,0.09
9,-0.58,0.46,0.19,0.07,0.60,-3.39,-3.41,-3.38,-3.39,-3.38,-0.03
10,-0.59,-0.12,-0.39,-1.10,-0.50,-3.39,-3.39,-3.41,-3.39,-3.41,-0.03
11,-0.15,0.50,0.10,0.45,-0.05,-3.40,-3.37,-3.35,-3.37,-3.36,0.05
12,-0.30,0.02,-0.18,-0.46,-0.51,-3.33,-3.32,-3.32,-3.32,-3.32,0.04
1か年累計変動量(mm/年),,,,-0.51,,,,,,,
昭和45年5月観測開始以来累計変動量(mm),,,,-101.70,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.40,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.12
