月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-3.07,-3.01,-2.88,-2.98,-2.86,0.15
2,,,,,,-2.97,-3.00,-2.84,-2.94,-2.92,-0.06
3,,,,,,-2.87,-2.67,-2.82,-2.79,-2.90,0.02
4,,,,,,-2.77,-2.75,-2.76,-2.76,-2.74,0.16
5,,,,,,-2.79,-2.73,-2.75,-2.76,-2.67,0.07
6,,,,,,-2.80,-2.65,-2.68,-2.72,-2.69,-0.02
7,,,,,,-2.81,-2.74,-2.71,-2.75,-2.82,-0.13
8,,,,,,-2.63,-2.67,-2.50,-2.60,-2.52,0.30
9,,,,,,-2.67,-2.58,-2.50,-2.58,-2.66,-0.14
10,,,,,,-2.70,-2.72,-2.81,-2.75,-2.83,-0.17
11,,,,,,-2.82,-2.69,-2.70,-2.74,-2.73,0.10
12,,,,,,-2.76,-2.80,-2.83,-2.80,-2.87,-0.14
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-2.76,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.14
