月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,1.79,1.78,1.99,1.86,1.97,0.12
2,,,,,,1.92,1.82,1.92,1.88,1.90,-0.07
3,,,,,,1.87,2.06,1.99,1.97,1.91,0.01
4,,,,,,1.94,2.02,1.97,1.98,2.02,0.11
5,,,,,,1.97,1.99,1.95,1.97,1.95,-0.07
6,,,,,,1.89,2.03,2.05,1.99,2.06,0.11
7,,,,,,2.00,1.96,2.11,2.03,2.02,-0.04
8,,,,,,2.02,1.98,2.37,2.13,2.33,0.31
9,,,,,,2.20,2.18,2.42,2.27,2.29,-0.04
10,,,,,,2.12,2.02,1.98,2.04,1.98,-0.31
11,,,,,,1.99,2.09,(-),2.03,2.11,0.13
12,,,,,,(-),(-),(-),(-),(-),(-)
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,2.01,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.26
