月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-9.85,-9.91,-10.02,-9.93,-10.03,-0.07
2,,,,,,-10.08,-10.10,-10.11,-10.10,-10.06,-0.03
3,,,,,,-10.14,-10.08,-10.02,-10.08,-10.02,0.04
4,,,,,,-9.97,-9.92,-9.99,-9.96,-10.10,-0.08
5,,,,,,-9.99,-9.90,-10.03,-9.98,-10.04,0.06
6,,,,,,-10.09,-10.14,-10.18,-10.14,-10.21,-0.17
7,,,,,,-10.18,-10.15,-10.10,-10.14,-10.01,0.20
8,,,,,,-10.05,-9.94,-9.78,-9.92,-9.80,0.21
9,,,,,,-9.86,-9.82,-9.69,-9.79,-9.72,0.08
10,,,,,,-9.70,-9.77,-9.92,-9.80,-9.98,-0.26
11,,,,,,-9.98,-9.99,-10.07,-10.01,-10.12,-0.14
12,,,,,,-10.09,-10.15,-10.19,-10.14,-10.11,0.01
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-10.00,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.15
