月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.08,0.07,-0.01,-0.02,-0.02,-3.32,-3.29,-3.31,-3.31,-3.33,0.03
2,-0.22,0.00,0.12,-0.10,-0.12,-3.32,-3.33,-3.36,-3.33,-3.36,-0.03
3,-0.03,0.24,-0.09,0.12,0.00,-3.37,-3.37,-3.39,-3.38,-3.41,-0.05
4,0.15,-0.11,0.15,0.19,0.19,-3.41,-3.42,-3.43,-3.42,-3.41,0.00
5,-0.02,-0.04,0.20,0.14,0.33,-3.43,-3.43,-3.42,-3.42,-3.40,0.01
6,-0.25,0.30,0.04,0.09,0.42,-3.43,-3.41,-3.40,-3.41,-3.42,-0.02
7,-0.06,0.10,0.00,0.04,0.46,-3.40,-3.36,-3.38,-3.38,-3.39,0.03
8,-0.08,0.33,0.26,0.51,0.97,-3.36,-3.34,-3.27,-3.32,-3.19,0.20
9,-0.29,0.30,0.00,0.01,0.98,-3.27,-3.29,-3.25,-3.27,-3.25,-0.06
10,-0.21,-0.04,-0.26,-0.51,0.47,-3.26,-3.23,-3.22,-3.24,-3.25,0.00
11,-0.10,0.09,0.27,0.26,0.73,-3.23,-3.22,-3.25,-3.23,-3.28,-0.03
12,0.00,0.00,-0.10,-0.10,0.63,-3.22,-3.19,-3.18,-3.20,-3.20,0.08
1か年累計変動量(mm/年),,,,0.63,,,,,,,
平成25年1月観測開始以来累計変動量(mm),,,,4.54,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.33,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.16
