月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,99.57,99.52,99.67,99.59,99.72,0.09
2,,,,,,99.79,99.72,99.71,99.74,99.72,0.00
3,,,,,,99.67,99.71,99.70,99.69,99.62,-0.10
4,,,,,,99.56,99.54,99.57,99.56,99.55,-0.07
5,,,,,,99.61,99.67,99.62,99.63,99.58,0.03
6,,,,,,99.54,99.80,99.92,99.75,99.88,0.30
7,,,,,,99.81,99.75,99.95,99.84,99.95,0.07
8,,,,,,99.91,99.76,100.88,100.20,100.97,1.02
9,,,,,,100.80,100.62,100.95,100.79,100.77,-0.20
10,,,,,,100.50,100.11,99.74,100.11,99.61,-1.16
11,,,,,,99.57,99.70,99.81,99.69,99.89,0.28
12,,,,,,99.92,99.83,99.68,99.80,99.63,-0.26
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,99.87,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.00
