月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-3.95,-3.92,-3.95,-3.94,-3.96,0.01
2,,,,,,-3.94,-3.93,-3.96,-3.94,-3.89,0.07
3,,,,,,-3.94,-3.91,-3.90,-3.92,-3.89,0.00
4,,,,,,-3.87,-3.85,-3.82,-3.85,-3.83,0.06
5,,,,,,-3.84,-3.84,-3.81,-3.83,-3.76,0.07
6,,,,,,-3.80,-3.78,-3.78,-3.79,-3.81,-0.05
7,,,,,,-3.80,-3.76,-3.81,-3.79,-3.81,0.00
8,,,,,,-3.78,-3.76,-3.73,-3.76,-3.70,0.11
9,,,,,,-3.76,-3.79,-3.78,-3.78,-3.80,-0.10
10,,,,,,-3.80,-3.80,-3.79,-3.80,-3.82,-0.02
11,,,,,,-3.78,-3.77,-3.78,-3.78,-3.84,-0.02
12,,,,,,-3.76,-3.77,-3.76,-3.77,-3.80,0.04
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.83,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.17
