月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.01,0.01,0.04,0.04,0.04,13.90,13.86,13.80,13.85,13.79,-0.12
2,-0.01,-0.02,0.03,0.00,0.04,13.77,13.72,13.70,13.73,13.73,-0.06
3,0.04,0.12,-0.04,0.12,0.16,13.70,13.74,13.77,13.74,13.79,0.06
4,0.04,-0.01,-0.02,0.01,0.17,13.81,13.85,13.88,13.85,13.90,0.11
5,-0.06,0.01,-0.01,-0.06,0.11,13.90,13.94,13.98,13.94,14.03,0.13
6,0.01,0.07,-0.01,0.07,0.18,14.02,14.07,14.12,14.07,14.11,0.08
7,-0.02,-0.05,-0.01,-0.08,0.10,14.12,14.15,14.13,14.14,14.13,0.02
8,-0.02,0.06,0.30,0.34,0.44,14.16,14.17,14.28,14.20,14.33,0.20
9,-0.11,0.07,0.03,-0.01,0.43,14.30,14.29,14.34,14.31,14.36,0.03
10,-0.06,-0.04,-0.12,-0.22,0.21,14.35,14.32,14.30,14.32,14.26,-0.10
11,-0.05,0.06,0.05,0.06,0.27,14.26,14.24,14.20,14.24,14.14,-0.12
12,-0.03,0.01,-0.03,-0.05,0.22,14.15,14.10,14.05,14.10,14.01,-0.13
1か年累計変動量(mm/年),,,,0.22,,,,,,,
平成6年4月観測開始以来累計変動量(mm),,,,0.03,,,,,,,
1か年平均地下水位(m),,,,,,,,,14.04,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.10
