月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,15.91,15.52,15.27,15.56,15.26,-0.56
2,,,,,,15.28,15.26,15.29,15.28,15.31,0.05
3,,,,,,15.29,15.44,15.46,15.40,15.44,0.13
4,,,,,,15.44,15.31,15.22,15.33,15.29,-0.15
5,,,,,,15.55,15.26,15.11,15.30,15.15,-0.14
6,,,,,,14.92,14.89,14.94,14.92,15.01,-0.14
7,,,,,,14.94,14.89,15.02,14.95,15.02,0.01
8,,,,,,14.92,15.24,15.34,15.17,15.22,0.20
9,,,,,,15.36,15.54,15.77,15.56,15.85,0.63
10,,,,,,15.90,15.79,15.64,15.80,15.68,-0.17
11,,,,,,15.74,15.58,15.62,15.65,15.57,-0.11
12,,,,,,15.46,15.48,15.69,15.55,16.05,0.48
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,15.37,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.23
