月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,19.14,19.16,19.06,19.12,19.01,-0.04
2,,,,,,19.01,18.99,18.96,18.99,18.98,-0.03
3,,,,,,19.17,19.42,19.09,19.22,18.98,0.00
4,,,,,,18.91,19.18,19.21,19.10,18.98,0.00
5,,,,,,18.80,18.54,18.39,18.57,18.32,-0.66
6,,,,,,18.19,18.09,18.08,18.12,18.24,-0.08
7,,,,,,18.08,17.88,17.75,17.90,17.71,-0.53
8,,,,,,17.73,17.68,17.77,17.73,17.82,0.11
9,,,,,,17.77,17.82,18.01,17.87,18.06,0.24
10,,,,,,18.26,18.65,19.07,18.67,19.17,1.11
11,,,,,,19.27,19.47,20.13,19.62,20.52,1.35
12,,,,,,20.51,20.29,20.37,20.39,20.47,-0.05
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,18.78,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.42
