月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,21.66,21.62,21.41,21.56,21.30,-0.34
2,,,,,,21.21,21.10,21.05,21.12,21.02,-0.28
3,,,,,,20.97,21.04,21.08,21.03,21.07,0.05
4,,,,,,21.08,21.05,20.96,21.03,20.94,-0.13
5,,,,,,20.92,20.84,20.64,20.80,20.59,-0.35
6,,,,,,20.54,20.53,20.56,20.54,20.57,-0.02
7,,,,,,20.55,20.53,20.57,20.55,20.59,0.02
8,,,,,,20.57,20.45,20.79,20.61,21.04,0.45
9,,,,,,21.23,21.59,22.05,21.63,22.19,1.15
10,,,,,,22.31,22.45,22.43,22.40,22.39,0.20
11,,,,,,22.37,22.27,22.11,22.25,22.03,-0.36
12,,,,,,21.96,21.81,21.70,21.82,21.66,-0.37
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,21.28,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.02
