月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,69.52,69.49,69.32,69.44,69.33,-0.11
2,,,,,,69.29,69.25,69.21,69.25,69.31,-0.02
3,,,,,,69.22,69.26,69.27,69.25,69.28,-0.03
4,,,,,,69.31,69.25,69.23,69.27,69.24,-0.04
5,,,,,,69.2,69.14,69.2,69.18,69.25,0.01
6,,,,,,69.22,69.28,69.3,69.27,69.28,0.03
7,,,,,,69.24,69.27,69.22,69.25,69.23,-0.05
8,,,,,,69.27,69.4,69.58,69.42,69.65,0.42
9,,,,,,69.57,69.62,69.74,69.64,69.75,0.1
10,,,,,,69.82,69.83,69.8,69.82,69.72,-0.03
11,,,,,,69.72,69.68,69.63,69.68,69.48,-0.24
12,,,,,,69.61,69.52,69.47,69.53,69.39,-0.09
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,69.42,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.05
