月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.05,0.11,-0.02,0.04,0.04,-5.71,-5.89,-6.16,-5.93,-6.21,-0.29
2,-0.07,0.02,0.04,-0.01,0.03,-6.32,-6.33,-6.25,-6.30,-6.28,-0.07
3,0.06,0.06,-0.08,0.04,0.07,-6.37,-6.28,-6.27,-6.31,-6.32,-0.04
4,0.06,-0.03,0.02,0.05,0.12,-6.07,-6.08,-6.11,-6.09,-6.08,0.24
5,-0.04,-0.03,-0.01,-0.08,0.04,-6.03,-6.19,-6.39,-6.21,-6.38,-0.30
6,-0.07,0.13,0.02,0.08,0.12,-6.45,-6.42,-6.26,-6.38,-6.23,0.15
7,-0.01,0.04,-0.03,0.00,0.12,-6.30,-6.21,-6.00,-6.16,-5.98,0.25
8,-0.01,0.11,0.09,0.19,0.31,-6.04,-5.82,-5.69,-5.85,-5.67,0.31
9,-0.06,-0.02,0.04,-0.04,0.27,-5.83,-5.76,-5.61,-5.74,-5.68,-0.01
10,-0.09,-0.03,-0.06,-0.18,0.09,-5.66,-5.84,-5.87,-5.79,-5.89,-0.21
11,-0.06,0.09,0.00,0.03,0.12,-5.89,-5.94,-5.86,-5.90,-5.98,-0.09
12,-0.06,-0.01,-0.01,-0.08,0.04,-5.96,-6.00,-6.01,-5.99,-6.05,-0.07
1か年累計変動量(mm/年),,,,0.04,,,,,,,
昭和47年8月観測開始以来累計変動量(mm),,,,-35.41,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.05,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.13
