月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,5.47,5.50,5.40,5.46,5.46,0.31
2,,,,,,5.46,5.73,5.96,5.70,6.41,0.95
3,,,,,,5.81,5.71,5.68,5.73,5.68,-0.73
4,,,,,,5.68,5.55,5.52,5.59,5.46,-0.22
5,,,,,,5.47,5.46,5.52,5.48,5.64,0.18
6,,,,,,5.54,5.68,5.81,5.68,5.81,0.17
7,,,,,,5.63,5.60,5.65,5.63,5.51,-0.30
8,,,,,,5.58,5.56,5.99,5.72,6.05,0.54
9,,,,,,5.95,5.99,6.32,6.09,6.39,0.34
10,,,,,,6.31,6.25,6.19,6.24,6.13,-0.26
11,,,,,,6.14,6.08,5.93,6.05,5.85,-0.28
12,,,,,,5.90,5.80,5.87,5.86,5.88,0.03
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,5.77,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.73
