月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.19,0.00,-0.16,0.03,0.03,7.41,7.45,7.46,7.44,7.46,0.07
2,-0.03,-0.01,-0.04,-0.08,-0.05,7.46,7.46,7.46,7.46,7.49,0.03
3,-0.03,0.05,-0.01,0.01,-0.04,7.46,7.50,7.53,7.50,7.54,0.05
4,0.04,0.01,0.00,0.05,0.01,7.56,7.58,7.58,7.57,7.57,0.03
5,0.08,-0.12,-0.02,-0.06,-0.05,7.56,7.55,7.54,7.55,7.54,-0.03
6,-0.08,-0.01,-0.12,-0.21,-0.26,7.49,7.49,7.47,7.48,7.44,-0.10
7,0.00,-0.25,0.03,-0.22,-0.48,7.40,7.38,7.33,7.37,7.30,-0.14
8,0.00,0.04,0.14,0.18,-0.30,7.30,7.26,7.35,7.31,7.38,0.08
9,0.01,0.09,0.06,0.16,-0.14,7.33,7.34,7.41,7.36,7.41,0.03
10,0.08,0.11,-0.04,0.15,0.01,7.44,7.47,7.52,7.48,7.52,0.11
11,0.06,0.00,0.18,0.24,0.25,7.55,7.60,7.64,7.60,7.62,0.10
12,-0.02,-0.04,0.16,0.10,0.35,7.67,7.68,7.71,7.69,7.71,0.09
1か年累計変動量(mm/年),,,,0.35,,,,,,,
昭和48年5月観測開始以来累計変動量(mm),,,,-2.65,,,,,,,
1か年平均地下水位(m),,,,,,,,,7.48,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.32
