月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,27.78,27.67,27.60,27.68,27.60,-0.25
2,,,,,,27.56,27.47,27.45,27.50,27.55,-0.05
3,,,,,,27.42,27.46,27.48,27.45,27.48,-0.07
4,,,,,,27.49,27.52,27.56,27.52,27.49,0.01
5,,,,,,27.52,27.46,27.46,27.48,27.44,-0.05
6,,,,,,27.38,27.48,27.57,27.48,27.59,0.15
7,,,,,,27.58,27.55,27.65,27.60,27.70,0.11
8,,,,,,27.68,27.62,28.43,27.91,28.52,0.82
9,,,,,,28.54,28.52,28.94,28.67,28.90,0.38
10,,,,,,28.81,28.55,28.34,28.56,28.24,-0.66
11,,,,,,28.18,28.12,28.02,28.11,27.94,-0.30
12,,,,,,27.99,27.91,27.83,27.91,27.76,-0.18
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,27.82,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.09
