月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.01,-0.02,0.13,0.10,0.10,8.50,8.58,8.67,8.59,8.76,0.38
2,0.00,-0.01,0.03,0.02,0.12,8.85,8.81,8.79,8.82,8.88,0.12
3,-0.02,0.04,-0.04,-0.02,0.10,8.91,9.13,9.28,9.11,9.29,0.41
4,0.01,-0.03,-0.01,-0.03,0.07,9.16,9.00,8.95,9.04,8.95,-0.34
5,-0.03,-0.04,-0.05,-0.12,-0.05,8.92,8.85,8.84,8.87,8.72,-0.23
6,-0.03,0.00,0.01,-0.02,-0.07,8.59,8.51,8.41,8.50,8.37,-0.35
7,-0.04,-0.02,0.00,-0.06,-0.13,8.34,8.28,8.19,8.27,8.19,-0.18
8,-0.05,-0.03,0.16,0.08,-0.05,8.16,8.06,8.12,8.12,8.16,-0.03
9,0.01,0.11,0.18,0.30,0.25,8.10,8.13,8.26,8.16,8.28,0.12
10,-0.03,0.00,-0.06,-0.09,0.16,8.36,8.56,8.80,8.58,8.87,0.59
11,-0.01,0.05,1.82,1.86,2.02,8.98,9.08,9.13,9.06,9.19,0.32
12,0.00,0.01,0.00,0.01,2.03,9.34,9.45,9.54,9.44,9.59,0.40
1か年累計変動量(mm/年),,,,2.03,,,,,,,
平成1年4月観測開始以来累計変動量(mm),,,,2.48,,,,,,,
1か年平均地下水位(m),,,,,,,,,8.71,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.21
