月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.04,-0.01,-0.04,-0.09,-0.09,-3.93,-3.91,-3.93,-3.92,-3.94,0.02
2,-0.08,-0.07,0.02,-0.13,-0.22,-3.92,-3.91,-3.94,-3.92,-3.88,0.06
3,-0.02,0.05,-0.02,0.01,-0.21,-3.92,-3.89,-3.88,-3.90,-3.87,0.01
4,0.03,0.00,0.01,0.04,-0.17,-3.85,-3.83,-3.81,-3.83,-3.81,0.06
5,0.00,0.00,0.04,0.04,-0.13,-3.82,-3.82,-3.79,-3.81,-3.75,0.06
6,-0.02,0.03,0.01,0.02,-0.11,-3.79,-3.77,-3.77,-3.77,-3.79,-0.04
7,0.00,-0.01,-0.01,-0.02,-0.13,-3.78,-3.75,-3.80,-3.78,-3.80,-0.01
8,0.03,0.00,0.17,0.20,0.07,-3.77,-3.75,-3.71,-3.74,-3.68,0.12
9,-0.08,0.05,-0.02,-0.05,0.02,-3.74,-3.78,-3.76,-3.76,-3.77,-0.09
10,-0.09,-0.05,-0.04,-0.18,-0.16,-3.78,-3.77,-3.77,-3.77,-3.79,-0.02
11,0.00,0.00,-0.08,-0.08,-0.24,-3.76,-3.75,-3.75,-3.75,-3.81,-0.02
12,0.00,-0.08,-0.10,-0.18,-0.42,-3.74,-3.75,-3.74,-3.74,-3.77,0.04
1か年累計変動量(mm/年),,,,-0.42,,,,,,,
昭和29年5月観測開始以来累計変動量(mm),,,,-1317.46,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.81,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.19
