月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-4.06,-4.03,-4.04,-4.04,-4.03,0.03
2,,,,,,-4.03,-4.02,-4.05,-4.03,-3.98,0.05
3,,,,,,-4.04,-4.01,-3.99,-4.01,-3.99,-0.01
4,,,,,,-3.96,-3.96,-3.93,-3.95,-3.94,0.05
5,,,,,,-3.94,-3.94,-3.90,-3.93,-3.86,0.08
6,,,,,,-3.91,-3.88,-3.89,-3.89,-3.91,-0.05
7,,,,,,-3.90,-3.86,-3.91,-3.89,-3.92,-0.01
8,,,,,,-3.88,-3.87,-3.84,-3.86,-3.80,0.12
9,,,,,,-3.87,-3.92,-3.91,-3.90,-3.93,-0.13
10,,,,,,-3.93,-3.91,-3.93,-3.92,-3.92,0.01
11,,,,,,-3.90,-3.90,-3.91,-3.91,-3.96,-0.04
12,,,,,,-3.88,-3.88,-3.88,-3.88,-3.90,0.06
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.93,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.16
