月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,87.69,87.26,87.58,87.51,87.66,-0.22
2,,,,,,87.72,87.59,87.53,87.62,87.56,-0.10
3,,,,,,87.53,87.66,88.00,87.74,87.93,0.37
4,,,,,,87.84,87.84,87.84,87.84,87.83,-0.10
5,,,,,,87.80,87.67,87.49,87.65,87.38,-0.45
6,,,,,,87.30,87.49,87.86,87.55,87.94,0.56
7,,,,,,87.89,87.85,88.13,87.96,88.07,0.13
8,,,,,,87.89,88.13,91.52,89.25,91.91,3.84
9,,,,,,91.48,91.14,91.49,91.37,91.28,-0.63
10,,,,,,90.97,90.22,89.23,90.11,88.28,-3.00
11,,,,,,87.97,88.09,88.24,88.10,88.55,0.27
12,,,,,,88.55,88.19,88.04,88.25,87.97,-0.58
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,88.41,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.09
