月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,108.07,107.82,107.87,107.92,107.97,-0.26
2,,,,,,108.09,108.09,108.40,108.18,108.40,0.43
3,,,,,,108.29,108.44,108.40,108.38,108.28,-0.12
4,,,,,,108.17,108.22,108.10,108.16,108.05,-0.23
5,,,,,,108.08,107.99,107.86,107.97,107.79,-0.26
6,,,,,,107.72,108.28,108.28,108.09,108.16,0.37
7,,,,,,108.05,107.88,107.91,107.94,107.98,-0.18
8,,,,,,107.95,108.13,110.37,108.87,110.13,2.15
9,,,,,,109.99,109.92,110.05,109.99,109.94,-0.19
10,,,,,,109.54,108.79,108.19,108.82,107.99,-1.95
11,,,,,,107.84,108.17,108.15,108.05,108.33,0.34
12,,,,,,108.44,108.44,108.33,108.40,108.25,-0.08
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,108.40,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.02
