月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,13.91,14.19,14.57,14.23,14.81,0.92
2,,,,,,14.86,14.91,14.93,14.90,15.11,0.30
3,,,,,,15.15,15.42,15.68,15.42,15.63,0.52
4,,,,,,15.65,15.53,15.47,15.55,15.52,-0.11
5,,,,,,15.48,15.29,15.33,15.37,15.22,-0.30
6,,,,,,15.18,15.17,15.08,15.14,15.00,-0.22
7,,,,,,14.95,14.92,14.79,14.88,14.92,-0.08
8,,,,,,14.37,14.00,13.88,14.10,13.96,-0.96
9,,,,,,13.86,13.92,14.00,13.93,14.08,0.12
10,,,,,,14.15,14.21,14.42,14.27,14.54,0.46
11,,,,,,14.68,14.77,14.91,14.79,14.88,0.34
12,,,,,,15.04,15.13,15.22,15.13,15.33,0.45
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,14.81,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.44
