月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-7.06,-7.03,-7.01,-7.03,-7.01,0.07
2,,,,,,-6.99,-6.99,-6.98,-6.99,-6.96,0.05
3,,,,,,-6.97,-6.94,-6.94,-6.95,-6.94,0.02
4,,,,,,-6.93,-6.90,-6.89,-6.90,-6.91,0.03
5,,,,,,-6.87,-6.86,-6.84,-6.86,-6.82,0.09
6,,,,,,-6.85,-6.84,-6.86,-6.85,-6.86,-0.04
7,,,,,,-6.88,-6.90,-6.94,-6.91,-6.95,-0.09
8,,,,,,-6.97,-6.99,-6.98,-6.98,-6.96,-0.01
9,,,,,,-7.02,-7.04,-7.03,-7.03,-7.05,-0.09
10,,,,,,-7.04,-7.02,-6.99,-7.02,-7.00,0.05
11,,,,,,-6.99,-6.97,-6.96,-6.97,-6.98,0.02
12,,,,,,-6.94,-6.93,-6.91,-6.93,-6.91,0.07
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.95,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.17
