月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,30.56,30.63,30.68,30.63,30.71,0.21
2,,,,,,30.73,30.78,30.80,30.77,30.84,0.13
3,,,,,,30.82,30.86,30.88,30.85,30.88,0.04
4,,,,,,30.91,30.92,30.94,30.92,30.94,0.06
5,,,,,,30.93,30.85,30.46,30.74,30.21,-0.73
6,,,,,,29.90,29.42,29.01,29.44,28.84,-1.37
7,,,,,,28.67,28.44,28.33,28.48,28.31,-0.53
8,,,,,,28.27,28.03,27.85,28.05,27.84,-0.47
9,,,,,,27.86,28.04,28.39,28.10,28.57,0.73
10,,,,,,28.79,29.12,29.42,29.12,29.52,0.95
11,,,,,,29.65,29.85,30.05,29.85,30.11,0.59
12,,,,,,30.24,30.38,30.50,30.38,30.53,0.42
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,29.78,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.03
