月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-6.15,-6.15,-6.19,-6.16,-6.20,0.02
2,,,,,,-6.20,-6.23,-6.38,-6.26,-6.21,-0.01
3,,,,,,-6.23,-6.20,-6.20,-6.21,-6.20,0.01
4,,,,,,-6.19,-6.16,-6.14,-6.17,-6.15,0.05
5,,,,,,-6.13,-6.13,-6.13,-6.13,-6.10,0.05
6,,,,,,-6.14,-6.15,-6.16,-6.15,-6.17,-0.07
7,,,,,,-6.16,-6.14,-6.14,-6.15,-6.14,0.03
8,,,,,,-6.12,-6.09,-6.03,-6.08,-6.00,0.14
9,,,,,,-6.05,-6.05,-6.01,-6.04,-6.02,-0.02
10,,,,,,-6.00,-6.00,-6.01,-6.00,-6.01,0.01
11,,,,,,-6.00,-6.01,-5.97,-5.99,-5.97,0.04
12,,,,,,-5.93,-5.93,-5.95,-5.94,-5.96,0.01
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.11,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.26
