月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.01,-0.03,0.00,-0.02,-0.02,87.21,87.03,86.94,87.06,86.91,-0.28
2,0.05,0.00,0.01,0.06,0.04,86.93,86.86,86.81,86.87,86.90,-0.01
3,-0.01,0.03,0.00,0.02,0.06,86.82,86.84,86.88,86.85,86.84,-0.06
4,0.00,0.06,0.00,0.06,0.12,86.85,86.83,86.75,86.81,86.76,-0.08
5,0.00,0.06,-0.01,0.05,0.17,86.85,86.77,86.75,86.79,86.80,0.04
6,0.00,-0.01,-0.02,-0.03,0.14,86.75,86.82,86.89,86.82,86.87,0.07
7,0.00,0.00,0.00,0.00,0.14,86.87,86.91,86.93,86.90,86.96,0.09
8,0.00,-0.04,0.00,-0.04,0.10,86.99,87.09,87.42,87.18,87.65,0.69
9,0.03,0.01,0.00,0.04,0.14,87.69,87.76,87.96,87.80,87.97,0.32
10,0.00,-0.01,0.00,-0.01,0.13,87.95,87.80,87.63,87.79,87.56,-0.41
11,-0.03,0.00,-0.03,-0.06,0.07,87.50,87.43,87.41,87.45,87.33,-0.23
12,0.03,-0.03,0.01,0.01,0.08,87.33,87.28,87.25,87.29,87.25,-0.08
1か年累計変動量(mm/年),,,,0.08,,,,,,,
昭和59年4月観測開始以来累計変動量(mm),,,,5.41,,,,,,,
1か年平均地下水位(m),,,,,,,,,87.13,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.06
