月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-5.92,-5.89,-5.95,-5.92,-5.96,-0.02
2,,,,,,-5.96,-5.96,-5.99,-5.97,-5.95,0.01
3,,,,,,-6.00,-5.96,-5.96,-5.97,-5.95,0.00
4,,,,,,-5.93,-5.92,-5.88,-5.91,-5.88,0.07
5,,,,,,-5.90,-5.88,-5.83,-5.87,-5.79,0.09
6,,,,,,-5.81,-5.77,-5.75,-5.78,-5.77,0.02
7,,,,,,-5.77,-5.73,-5.76,-5.75,-5.76,0.01
8,,,,,,-5.73,-5.72,-5.65,-5.70,-5.60,0.16
9,,,,,,-5.67,-5.70,-5.65,-5.67,-5.63,-0.03
10,,,,,,-5.64,-5.66,-5.65,-5.65,-5.70,-0.07
11,,,,,,-5.67,-5.67,-5.65,-5.66,-5.68,0.02
12,,,,,,-5.61,-5.63,-5.65,-5.63,-5.69,-0.01
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-5.79,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.25
