月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,7.37,7.41,7.38,7.38,7.36,0.04
2,,,,,,7.37,7.35,7.36,7.36,7.39,0.03
3,,,,,,7.36,7.42,7.46,7.42,7.47,0.08
4,,,,,,7.49,7.48,7.46,7.47,7.44,-0.03
5,,,,,,7.45,7.44,7.39,7.43,7.39,-0.05
6,,,,,,7.32,7.29,7.25,7.29,7.22,-0.17
7,,,,,,7.18,7.16,7.11,7.15,7.08,-0.14
8,,,,,,7.07,7.04,7.15,7.09,7.18,0.1
9,,,,,,7.14,7.18,7.28,7.20,7.29,0.11
10,,,,,,7.32,7.38,7.42,7.38,7.42,0.13
11,,,,,,7.46,7.51,7.52,7.50,7.49,0.07
12,,,,,,7.53,7.55,7.59,7.56,7.60,0.11
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,7.35,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.28
