月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.05,0.00,0.00,-0.05,-0.05,13.61,13.86,14.17,13.89,14.27,0.81
2,0.00,0.01,0.00,0.01,-0.04,14.38,14.46,14.48,14.44,14.60,0.33
3,0.01,0.06,0.02,0.09,0.05,14.60,14.66,14.77,14.68,14.79,0.19
4,0.03,-0.01,0.01,0.03,0.08,14.80,14.70,14.63,14.71,14.59,-0.20
5,0.01,-0.02,0.02,0.01,0.09,14.53,14.45,14.45,14.48,14.40,-0.19
6,-0.01,0.05,0.00,0.04,0.13,14.25,14.15,14.06,14.15,14.00,-0.40
7,0.02,0.00,0.01,0.03,0.16,13.94,13.86,13.72,13.83,13.71,-0.29
8,-0.04,0.04,0.16,0.16,0.32,13.56,13.20,13.06,13.29,13.05,-0.66
9,0.02,0.07,0.13,0.22,0.54,13.05,13.08,13.17,13.10,13.21,0.16
10,-0.04,-0.03,-0.01,-0.08,0.46,13.26,13.40,13.65,13.44,13.79,0.58
11,-0.02,-0.04,0.30,0.24,0.70,13.99,14.24,14.47,14.24,14.60,0.81
12,-0.01,0.00,-0.02,-0.03,0.67,14.78,14.90,15.00,14.89,15.10,0.50
1か年累計変動量(mm/年),,,,0.67,,,,,,,
昭和50年6月観測開始以来累計変動量(mm),,,,12.84,,,,,,,
1か年平均地下水位(m),,,,,,,,,14.10,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.64
