月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,19.37,19.42,19.38,19.39,19.40,0.10
2,,,,,,19.42,19.43,19.42,19.42,19.55,0.15
3,,,,,,19.45,19.39,19.25,19.36,19.21,-0.34
4,,,,,,19.23,19.23,19.23,19.23,19.16,-0.05
5,,,,,,19.10,18.95,18.91,18.98,18.90,-0.26
6,,,,,,18.77,18.70,18.61,18.70,18.55,-0.35
7,,,,,,18.52,18.48,18.34,18.44,18.33,-0.22
8,,,,,,18.31,18.25,18.28,18.28,18.29,-0.04
9,,,,,,18.22,18.25,18.32,18.27,18.36,0.07
10,,,,,,18.46,18.59,18.76,18.61,18.75,0.39
11,,,,,,18.85,18.95,19.30,19.04,19.43,0.68
12,,,,,,19.67,19.61,19.65,19.64,19.65,0.22
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,18.95,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.35
