月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.08,0.19,-0.08,0.03,0.03,-8.42,-8.38,-8.42,-8.41,-8.43,0.09
2,-0.11,0.13,-0.12,-0.10,-0.07,-8.49,-8.56,-8.57,-8.54,-8.54,-0.11
3,0.19,0.03,-0.15,0.07,0.00,-8.59,-8.57,-8.57,-8.58,-8.59,-0.05
4,0.09,-0.09,0.05,0.05,0.05,-8.55,-8.50,-8.48,-8.51,-8.46,0.13
5,0.01,-0.08,0.05,-0.02,0.03,-8.41,-8.42,-8.48,-8.44,-8.51,-0.05
6,-0.09,0.08,-0.01,-0.02,0.01,-8.58,-8.64,-8.70,-8.64,-8.72,-0.21
7,-0.08,0.04,-0.12,-0.16,-0.15,-8.73,-8.71,-8.69,-8.71,-8.66,0.06
8,-0.02,0.30,-0.10,0.18,0.03,-8.65,-8.56,-8.48,-8.56,-8.47,0.19
9,-0.13,0.35,-0.42,-0.20,-0.17,-8.49,-8.49,-8.43,-8.47,-8.43,0.04
10,-0.04,-0.06,-0.09,-0.19,-0.36,-8.44,-8.45,-8.48,-8.46,-8.47,-0.04
11,-0.03,0.76,-0.04,0.69,0.33,-8.48,-8.51,-8.52,-8.50,-8.55,-0.08
12,-0.10,0.04,0.00,-0.06,0.27,-8.52,-8.52,-8.55,-8.53,-8.54,0.01
1か年累計変動量(mm/年),,,,0.27,,,,,,,
昭和46年6月観測開始以来累計変動量(mm),,,,-101.68,,,,,,,
1か年平均地下水位(m),,,,,,,,,-8.53,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.02
