月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.00,-0.03,-0.01,-0.04,-0.04,69.15,69.14,69.01,69.10,68.99,-0.08
2,0.00,-0.01,0.03,0.02,-0.02,68.96,68.93,68.91,68.93,68.94,-0.05
3,0.02,0.05,0.01,0.08,0.06,68.91,68.94,68.98,68.95,68.97,0.03
4,0.01,0.02,0.02,0.05,0.11,68.99,68.96,68.89,68.95,68.89,-0.08
5,0.03,0.01,0.11,0.15,0.26,68.87,68.81,68.86,68.85,68.95,0.06
6,0.03,0.08,0.00,0.11,0.37,68.92,68.98,69.02,68.97,69.01,0.06
7,0.02,0.00,0.03,0.05,0.42,68.95,68.97,68.95,68.95,68.93,-0.08
8,0.02,0.02,0.75,0.79,1.21,69.12,69.31,69.55,69.33,69.73,0.80
9,0.02,0.10,0.20,0.32,1.53,69.71,69.69,69.83,69.75,69.86,0.13
10,-0.05,-0.04,-0.17,-0.26,1.27,69.89,69.92,69.78,69.86,69.70,-0.16
11,-0.16,0.00,-0.13,-0.29,0.98,69.65,69.58,69.53,69.58,69.44,-0.26
12,-0.01,0.00,-0.07,-0.08,0.90,69.39,69.29,69.25,69.31,69.20,-0.24
1か年累計変動量(mm/年),,,,0.90,,,,,,,
昭和54年4月観測開始以来累計変動量(mm),,,,12.31,,,,,,,
1か年平均地下水位(m),,,,,,,,,69.21,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.13
