月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.13,-0.01,-0.07,-0.21,-0.21,-5.80,-5.79,-5.85,-5.81,-5.86,-0.01
2,-0.06,-0.04,0.00,-0.10,-0.31,-5.82,-5.80,-5.84,-5.82,-5.73,0.13
3,0.06,0.08,-0.06,0.08,-0.23,-5.87,-5.85,-5.89,-5.87,-5.92,-0.19
4,0.09,-0.05,0.06,0.10,-0.13,-5.89,-5.91,-5.86,-5.89,-5.88,0.04
5,0.03,0.04,0.08,0.15,0.02,-5.87,-5.91,-5.87,-5.89,-5.81,0.07
6,-0.03,0.12,0.00,0.09,0.11,-5.86,-5.83,-5.83,-5.84,-5.87,-0.06
7,-0.01,0.04,-0.03,0.00,0.11,-5.87,-5.84,-5.89,-5.87,-5.88,-0.01
8,-0.01,0.05,0.05,0.09,0.20,-5.87,-5.86,-5.80,-5.84,-5.79,0.09
9,-0.08,0.06,-0.08,-0.10,0.10,-5.85,-5.85,-5.81,-5.84,-5.83,-0.04
10,-0.09,-0.12,-0.13,-0.34,-0.24,-5.80,-5.82,-5.78,-5.80,-5.82,0.01
11,-0.16,0.03,-0.06,-0.19,-0.43,-5.77,-5.76,-5.76,-5.76,-5.84,-0.02
12,-0.08,-0.04,-0.07,-0.19,-0.62,-5.72,-5.73,-5.71,-5.72,-5.71,0.13
1か年累計変動量(mm/年),,,,-0.62,,,,,,,
昭和28年5月観測開始以来累計変動量(mm),,,,-724.02,,,,,,,
1か年平均地下水位(m),,,,,,,,,-5.83,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.14
