月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,45.57,45.44,45.42,45.47,45.39,-0.27
2,,,,,,45.35,45.27,45.24,45.29,45.23,-0.16
3,,,,,,45.20,45.28,45.34,45.27,45.33,0.10
4,,,,,,45.30,45.36,45.38,45.35,45.37,0.04
5,,,,,,45.34,45.28,45.24,45.29,45.22,-0.15
6,,,,,,45.19,45.26,45.33,45.26,45.33,0.11
7,,,,,,45.30,45.29,45.38,45.32,45.41,0.08
8,,,,,,45.37,45.29,46.50,45.72,46.72,1.31
9,,,,,,46.64,46.53,47.34,46.84,47.20,0.48
10,,,,,,46.92,46.63,46.40,46.64,46.31,-0.89
11,,,,,,46.23,46.22,46.19,46.21,46.21,-0.10
12,,,,,,46.19,46.13,46.09,46.13,46.06,-0.15
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,45.73,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.40
