月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,44.96,45.01,45.01,44.99,45.03,0.06
2,,,,,,44.98,45.00,45.09,45.02,45.02,-0.01
3,,,,,,45.03,45.09,45.00,45.04,44.98,-0.04
4,,,,,,45.02,45.02,45.00,45.02,45.01,0.03
5,,,,,,45.00,44.97,44.95,44.97,44.98,-0.03
6,,,,,,44.93,45.04,44.98,44.98,44.97,-0.01
7,,,,,,44.96,45.03,45.06,45.02,44.98,0.01
8,,,,,,44.97,45.05,45.68,45.25,45.84,0.86
9,,,,,,45.29,45.24,45.52,45.35,45.23,-0.61
10,,,,,,45.15,45.01,44.97,45.04,44.95,-0.28
11,,,,,,44.95,45.04,45.04,45.01,45.02,0.07
12,,,,,,45.00,45.01,45.00,45.00,44.96,-0.06
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,45.06,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.01
