月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-0.30,-0.50,-0.72,-0.51,-0.73,-0.24
2,,,,,,-0.77,-0.78,-0.75,-0.77,-0.74,-0.01
3,,,,,,-0.85,-0.80,-0.77,-0.81,-0.81,-0.07
4,,,,,,-0.68,-0.72,-0.77,-0.72,-0.74,0.07
5,,,,,,-0.68,-0.88,-1.09,-0.89,-1.11,-0.37
6,,,,,,-1.17,-1.16,-1.07,-1.13,-1.03,0.08
7,,,,,,-1.05,-1.03,-0.93,-1.00,-0.90,0.13
8,,,,,,-0.96,-0.82,-0.59,-0.78,-0.48,0.42
9,,,,,,-0.59,-0.51,-0.33,-0.47,-0.34,0.14
10,,,,,,-0.30,-0.37,-0.42,-0.36,-0.43,-0.09
11,,,,,,-0.42,-0.44,-0.40,-0.42,-0.51,-0.08
12,,,,,,-0.51,-0.60,-0.61,-0.57,-0.58,-0.07
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-0.70,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.09
