月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,27.12,27.17,27.13,27.14,27.11,0.07
2,,,,,,27.16,27.17,27.19,27.17,27.28,0.17
3,,,,,,27.22,27.16,27.14,27.18,27.14,-0.14
4,,,,,,27.19,27.20,27.21,27.20,27.30,0.16
5,,,,,,27.38,27.42,27.46,27.42,27.52,0.22
6,,,,,,27.49,27.55,27.57,27.54,27.53,0.01
7,,,,,,27.52,27.57,27.53,27.54,27.49,-0.04
8,,,,,,27.49,27.53,27.77,27.60,27.86,0.37
9,,,,,,27.80,27.84,27.89,27.84,27.89,0.03
10,,,,,,27.91,27.90,27.94,27.91,27.95,0.06
11,,,,,,28.00,28.07,28.14,28.07,28.14,0.19
12,,,,,,28.24,28.32,28.44,28.34,28.51,0.37
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,27.58,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.47
