月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,10.81,10.75,10.82,10.79,10.81,-0.06
2,,,,,,10.72,10.64,10.71,10.69,10.74,-0.07
3,,,,,,10.70,10.93,10.92,10.85,10.88,0.14
4,,,,,,10.93,11.01,11.03,10.99,11.03,0.15
5,,,,,,11.04,11.10,11.11,11.08,11.24,0.21
6,,,,,,11.16,11.39,11.39,11.31,11.39,0.15
7,,,,,,11.31,11.29,11.30,11.30,11.23,-0.16
8,,,,,,11.34,11.32,12.10,11.60,12.10,0.87
9,,,,,,11.68,11.53,12.14,11.78,11.78,-0.32
10,,,,,,11.58,11.42,11.25,11.41,11.20,-0.58
11,,,,,,11.16,11.27,11.18,11.20,11.16,-0.04
12,,,,,,11.13,11.05,11.02,11.07,10.96,-0.20
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,11.17,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.09
