月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,36.35,36.37,36.36,36.36,36.35,-0.02
2,,,,,,36.34,36.33,36.36,36.34,36.34,-0.01
3,,,,,,36.33,36.33,36.29,36.32,36.26,-0.08
4,,,,,,36.29,36.29,36.28,36.29,36.29,0.03
5,,,,,,36.28,36.29,36.28,36.28,36.29,0.00
6,,,,,,36.28,36.31,36.28,36.29,36.29,0.00
7,,,,,,36.28,36.30,36.28,36.29,36.28,-0.01
8,,,,,,36.29,36.33,36.47,36.37,36.47,0.19
9,,,,,,36.35,36.39,36.43,36.39,36.34,-0.13
10,,,,,,36.34,36.32,36.32,36.33,36.32,-0.02
11,,,,,,36.32,36.35,36.33,36.33,36.33,0.01
12,,,,,,36.33,36.33,36.33,36.33,36.31,-0.02
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,36.33,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.06
