月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-4.80,-4.78,-4.77,-4.78,-4.78,0.07
2,,,,,,-4.77,-4.76,-4.77,-4.77,-4.76,0.02
3,,,,,,-4.77,-4.74,-4.74,-4.75,-4.75,0.01
4,,,,,,-4.70,-4.69,-4.67,-4.69,-4.65,0.10
5,,,,,,-4.68,-4.68,-4.65,-4.67,-4.62,0.03
6,,,,,,-4.64,-4.62,-4.63,-4.63,-4.65,-0.03
7,,,,,,-4.65,-4.63,-4.65,-4.64,-4.67,-0.02
8,,,,,,-4.66,-4.63,-4.60,-4.63,-4.59,0.08
9,,,,,,-4.63,-4.65,-4.64,-4.64,-4.65,-0.06
10,,,,,,-4.65,-4.66,-4.65,-4.65,-4.67,-0.02
11,,,,,,-4.64,-4.61,-4.62,-4.62,-4.65,0.02
12,,,,,,-4.61,-4.61,-4.60,-4.61,-4.62,0.03
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-4.67,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.23
