月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.01,0.01,-0.02,-0.02,-0.02,3.01,3.04,3.01,3.02,3.00,0.04
2,-0.03,0.00,0.00,-0.03,-0.05,3.00,2.96,2.94,2.97,2.95,-0.05
3,-0.01,0.01,-0.01,-0.01,-0.06,2.91,2.91,2.89,2.90,2.89,-0.06
4,-0.02,0.01,-0.03,-0.04,-0.10,2.90,2.92,2.90,2.91,2.90,0.01
5,-0.01,-0.01,-0.01,-0.03,-0.13,2.90,2.91,2.90,2.90,2.92,0.02
6,-0.03,0.01,-0.02,-0.04,-0.17,2.90,2.90,2.89,2.90,2.88,-0.04
7,-0.01,0.00,0.01,0.00,-0.17,2.88,2.88,2.87,2.88,2.88,0.00
8,-0.04,0.05,0.33,0.34,0.17,2.88,2.90,2.98,2.92,3.00,0.12
9,-0.02,-0.01,0.01,-0.02,0.15,2.97,2.98,3.05,3.00,3.06,0.06
10,0.00,-0.03,-0.04,-0.07,0.08,3.08,3.09,3.10,3.09,3.10,0.04
11,-0.01,0.01,-0.10,-0.10,-0.02,3.12,3.15,3.11,3.13,3.06,-0.04
12,0.01,0.01,-0.02,0.00,-0.02,3.09,3.08,3.06,3.08,3.04,-0.02
1か年累計変動量(mm/年),,,,-0.02,,,,,,,
昭和44年4月観測開始以来累計変動量(mm),,,,-21.27,,,,,,,
1か年平均地下水位(m),,,,,,,,,2.98,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.08
