月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.10,0.03,0.00,-0.07,-0.07,19.65,19.69,19.60,19.64,19.54,0.17
2,-0.05,-0.03,-0.03,-0.11,-0.18,19.56,19.58,19.58,19.57,19.65,0.11
3,0.01,0.07,-0.10,-0.02,-0.20,19.67,19.78,19.60,19.68,19.47,-0.18
4,0.02,-0.02,0.06,0.06,-0.14,19.56,19.71,19.70,19.65,19.67,0.20
5,0.01,-0.09,-0.09,-0.17,-0.31,19.68,19.57,19.41,19.55,19.40,-0.27
6,-0.21,0.24,0.00,0.03,-0.28,19.31,19.25,19.27,19.27,19.31,-0.09
7,-0.09,0.00,0.05,-0.04,-0.32,19.25,19.14,19.10,19.16,19.09,-0.22
8,-0.19,0.22,1.01,1.04,0.72,19.05,19.05,19.38,19.16,19.47,0.38
9,-0.01,0.09,0.32,0.40,1.12,19.39,19.43,19.63,19.48,19.63,0.16
10,-0.07,-0.05,-0.11,-0.23,0.89,19.70,19.94,19.98,19.88,20.03,0.40
11,-0.13,0.05,0.80,0.72,1.61,20.11,20.13,20.32,20.19,20.48,0.45
12,-0.10,-0.04,-0.07,-0.21,1.40,20.53,20.63,20.73,20.63,20.92,0.44
1か年累計変動量(mm/年),,,,1.40,,,,,,,
昭和58年4月観測開始以来累計変動量(mm),,,,10.06,,,,,,,
1か年平均地下水位(m),,,,,,,,,19.66,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.55
