月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,47.94,47.46,46.86,47.41,46.61,-1.56
2,,,,,,46.31,45.74,45.26,45.81,45.18,-1.43
3,,,,,,44.83,44.48,44.15,44.48,44.02,-1.16
4,,,,,,43.87,43.62,43.43,43.64,43.28,-0.74
5,,,,,,43.23,43.06,42.93,43.07,42.89,-0.39
6,,,,,,42.82,42.79,42.76,42.79,42.76,-0.13
7,,,,,,42.76,42.75,42.75,42.75,42.76,0.00
8,,,,,,42.76,42.76,42.77,42.77,42.74,-0.02
9,,,,,,42.80,42.87,42.99,42.88,43.03,0.29
10,,,,,,43.13,43.33,43.81,43.44,44.21,1.18
11,,,,,,45.00,46.29,47.07,46.12,47.20,2.99
12,,,,,,47.45,47.50,47.38,47.44,47.24,0.04
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,44.38,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.93
