月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.06,0.00,-0.04,-0.10,-0.10,-1.43,-1.44,-1.32,-1.39,-1.29,0.12
2,-0.01,0.00,0.02,0.01,-0.09,-1.28,-1.29,-1.28,-1.28,-1.28,0.01
3,0.01,-0.02,-0.05,-0.06,-0.15,-1.30,-1.28,-1.24,-1.27,-1.24,0.04
4,0.01,-0.27,-0.01,-0.27,-0.42,-1.24,-1.12,-0.75,-1.04,-0.71,0.53
5,-0.01,-0.02,-0.09,-0.12,-0.54,-0.72,-0.74,-0.76,-0.74,-0.68,0.03
6,-0.02,-0.05,-0.05,-0.12,-0.66,-0.61,-0.52,-0.48,-0.53,-0.49,0.19
7,-0.04,0.00,0.00,-0.04,-0.70,-0.52,-0.52,-0.46,-0.50,-0.51,-0.02
8,-0.01,-0.03,0.08,0.04,-0.66,-0.49,-0.52,-0.38,-0.46,-0.34,0.17
9,-0.05,-0.01,0.05,-0.01,-0.67,-0.38,-0.44,-0.32,-0.38,-0.34,0.00
10,-0.07,-0.11,0.01,-0.17,-0.84,-0.43,-0.49,-0.52,-0.48,-0.55,-0.21
11,-0.10,0.02,-0.10,-0.18,-1.02,-0.55,-0.52,-0.50,-0.52,-0.50,0.05
12,0.00,-0.02,0.00,-0.02,-1.04,-0.52,-0.56,-0.58,-0.55,-0.59,-0.09
1か年累計変動量(mm/年),,,,-1.04,,,,,,,
昭和38年8月観測開始以来累計変動量(mm),,,,-69.90,,,,,,,
1か年平均地下水位(m),,,,,,,,,-0.76,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.82
