月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-3.74,-3.74,-3.79,-3.76,-3.80,0.03
2,,,,,,-3.81,-3.83,-3.86,-3.83,-3.83,-0.03
3,,,,,,-3.89,-3.93,-3.97,-3.93,-4.00,-0.17
4,,,,,,-3.99,-3.99,-3.97,-3.99,-3.98,0.02
5,,,,,,-3.96,-3.96,-3.95,-3.96,-3.93,0.05
6,,,,,,-3.97,-3.92,-3.88,-3.92,-3.86,0.07
7,,,,,,-3.86,-3.82,-3.85,-3.84,-3.86,0.00
8,,,,,,-3.84,-3.80,-3.72,-3.78,-3.70,0.16
9,,,,,,-3.74,-3.75,-3.70,-3.73,-3.71,-0.01
10,,,,,,-3.68,-3.66,-3.78,-3.71,-3.87,-0.16
11,,,,,,-3.75,-3.76,-3.75,-3.76,-3.71,0.16
12,,,,,,-3.63,-3.61,-3.63,-3.62,-3.64,0.07
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.82,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.19
