店舗・グループ名１,店舗・グループ名２,特典内容１,お問合せ先１,お問合せ先１店舗名,お問合せ先２,お問合せ先備考,お問合せ先（メールアドレス）,お問合せ先（ＨＰ）,お問合せ先（ＨＰ）備考
日本通運株式会社,,引越の通常料金の１０パーセント割引,0120-154-669,,,,,,
巣鴨信用金庫,,運転経歴証明書所有者専用定期預金「サポート」／スーパー定期預金の金利優遇：店頭金利＋０．０５％上乗せ（お一人様合計１０万以上５００万円以下まで）／自動継続１年（継続後は店頭表示利率になります）／運転経歴証明書交付日より1年内,0120-18-3868,,,,,http://www.sugamo.co.jp,
東京シティ信用金庫,,「免許証返納定期」（スーパー定期預金）／店頭金利＋０．０５パーセント優遇（期間１年間。継続後は店頭金利）／預入単位１０万円以上５００万円以内（運転経歴証明書交付日より１年以内）,03-3279-4670,,,,gosoudan@tokyo-city-sk.co.jp,,
西京信用金庫,,免許証返納定期「安全」（スーパー定期預金）／店頭金利＋０．０５パーセント優遇／（継続後は店頭表示金利）,03-3356-7285,,,,,,
東京信用金庫,,運転経歴証明書所有者専用定期預金／スーパー定期預金の金利優遇 店頭金利プラス0.05パーセント／期間１年（自動継続のお取り扱いはできません）／10万円以上500万円以内(お一人様合計500万円以内）,0120-791-104,,,平日午前９時から午後５時まで／土曜･日曜･祝日除く,soudan@tokyo-shinkin.co.jp,,
西武信用金庫,,運転経歴証明書「制度普及促進定期預金」定期預金の金利優遇、スーパー定期１年もの＋0.05パーセント／お一人様10万円以上500万円以内,03-6382-7712,,,,,,
東京ベイ信用金庫,,「運転卒業定期」店頭表示金利＋0.030％（期間１年、継続後は店頭表示金利）／お一人様10万円以上500万円以内／運転経歴証明書交付日より１年以内,03-3685-2311,,,平日午前9時から午後5時まで。土日祝日除く。,,,
城北信用金庫,,運転経歴証明書所有者専用定期預金「あんしん定期」／スーパー定期預金の金利優遇（店頭表示金利＋0.05パーセント）／お一人様10万円以上500万円以内／自動継続１年（継続後は店頭表示金利になります）,03-3913-1149,,,,GYOUMUKIKAKU@johokubank.co.jp,,
朝日信用金庫,,運転経歴証明書定期預金「朝日セーフティー定期預金」／スーパー定期預金の金利優遇：店頭金利＋0.05％（継続後は店頭表示金利）／期間１年、10万円以上500万円以下（お一人様合計500万円まで）,03-3862-0329,営業統括部,,,,,
東京東信用金庫,,「ひがしん運転経歴証明書定期預金」店頭表示金利＋0.05パーセント／期間１年／継続後は店頭表示金利／お一人様10万円以上500万円以内／運転経歴証明書交付日より１年以内,03-5610-1112,,,平日午前9時から午後5時まで,,,
芝信用金庫,,「運転免許自主返納サポート定期」スーパー定期の金利優遇、店頭表示金利+0.05パーセント（期間１年）継続後は店頭表示金利／10万円以上500万円以下（お一人様500万円まで）／運転経歴証明書交付日より１年以内,,,,,,https://www.shibashin.jp,
瀧野川信用金庫,,「運転免許返納定期預金」（スーパー定期預金）／期間１年（自動継続）／店頭表示金利＋0.05パーセント（継続後は店頭表示金利）／お一人様10万円以上500万円まで／運転経歴証明書交付日より１年以内,0120-863-500,,,平日午前9時から午後5時まで、土日祝日除く,support@takishin.jp,,
城南信用金庫,,運転免許自主返納サポート預金「らいふ・ガード」／スーパー定期預金金利優遇／優遇内容：スーパー定期預金（１年もの）店頭表示金利＋0.050パーセント／継続後は、店頭表示金利／お一人様10万円以上500万円以下（期間１年）,,,,最寄の営業店までお問合わせください,,,
帝国ホテル東京,,帝国ホテル東京直営レストラン・バー・ラウンジにて１０パーセント割引（１０名様まで）／一部対象外あり,03-3504-1111,,,,,,
ホテルカデンツァ東京,,ホテル館内直営レストラン３店舗にて平日限定10パーセント割引（8名様まで）／一部対象外あり,03-5372-4411,,,,,,
渋谷エクセルホテル東急,,渋谷エクセルホテル東急／２５階　日本料理「旬彩」／２５階　レストラン「アビエント」／５階　ラウンジ「エスタシオンカフェ」にて飲食代１０パーセント引き,03-5457-0131,,,,,,
東武ホテルレバント東京／スーパーダイニング「ヴェルデュール」／日本料理・炭火焼きフレンチ「簾」／ロビーラウンジ「クリスタルムーブメント」,,同伴者全ての方が料理、飲物１０パーセント割引,03-5611-5511,,,,,,
ホテルサンターガス上野店／ホテルニューパーク,,宿泊料金５パーセント割引,03-3833-8686,,,,,,
三越伊勢丹,日本橋本店,有料催事（文化展・美術展など）無料／一部除外あり／詳しくはお問合せ先まで,050-1704-0668,,,,,,
?島屋,日本橋店・新宿店・玉川店,ご自宅への配送無料／65才以上に限る,03-3211-4111,企画宣伝部,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",03-5206-7228,キッチンコート神楽坂店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",03-5348-2201,キッチンコート東中野店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",03-3323-7281,キッチンコート永福町店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-540-1131,キッチンコート立川店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",03-3303-9111,キッチンコート桜上水店 ,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",0422-32-6911,キッチンコート野崎店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-442-3808,キッチンコート西調布店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",0422-70-3380,キッチンコート吉祥寺店,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",03-5497-0441,京王ストア駒井店 ,,,,,
株式会社京王ストア,,"5,000円以上のお買上で当日宅配サービス無料（会員登録が必要となります。65歳以上で本人に限る。）",042-367-1521,京王ストア府中店,,,,,
