"施設・店舗名","所在地","電話番号","授乳スペース","おむつ替えができる設備","最寄駅から施設までの徒歩所要時間の目安","授乳室等の利用可能日時","経度","緯度","分類"
"八成公園","上鷺宮五丁目19番","","なし","有り","富士見台駅より徒歩15分","","139.626674548162","35.731319267147","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"北中野公園","上鷺宮五丁目8番","","なし","有り","下井草駅より徒歩10分","","139.626714856156","35.7281138032073","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"西中野児童館","白鷺三丁目15番5号","03-3339-9826","有り","有り","鷺ノ宮駅より徒歩10分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.630357972909","35.7221537372909","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"かみさぎ児童館","上鷺宮三丁目9番19号","03-3998-0074","有り","有り","富士見台駅より徒歩5分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.63149597971","35.7346422601636","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"若葉公園","鷺宮五丁目11番","","なし","有り","下井草駅より徒歩10分","","139.631595511053","35.7251818243084","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上鷺宮区民活動センター","上鷺宮三丁目7番6号","03-3970-9131","なし","有り","富士見台駅より徒歩8分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.632135775489","35.7318951940426","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"白鷺保育園","白鷺三丁目3番24号","03-3330-2437","有り","有り","鷺ノ宮駅より徒歩7分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.63315498867","35.7212884378273","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"上鷺東公園","上鷺宮二丁目18番","","なし","有り","下井草駅より徒歩15分","","139.634787152167","35.7292587372965","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺宮スポーツ・コミュニティプラザ","白鷺三丁目1番13号","03-3337-1771","なし","有り","鷺ノ宮駅より徒歩3分","月曜日～土曜日は午前9時から午後10時45分日曜日・休日は午前9時から午後9時45分（第3月曜日、年末年始を除く）","139.636442645793","35.7224692109235","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"白鷺せせらぎ公園","白鷺一丁目4番","","なし","有り","鷺ノ宮駅より徒歩10分","","139.638280122657","35.7168580657344","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ドコモショップ鷺ノ宮駅前店","鷺宮三丁目19番15号","03-5327-2360","なし","有り","鷺ノ宮駅より徒歩1分","施設に直接お問合せください。","139.638542825168","35.7231403131119","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺ノ宮駅","鷺宮三丁目15番1号","03-3330-0674","なし","有り","","施設に直接お問合せください。","139.638797244354","35.7226078042988","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺宮区民活動センター","鷺宮三丁目22番5号","03-3330-4111","なし","有り","鷺ノ宮駅より徒歩3分","午前8時半から午後10時(年末年始、その他的清掃日等を除く)","139.639785640592","35.7234334241724","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺宮図書館","鷺宮三丁目22番5号","03-3337-1044","有り","有り","鷺ノ宮駅より徒歩3分","午前9時から午後8時（第2木曜日、館内整理日、特別整理期間、年末年始を除く）","139.639785640592","35.7234334241724","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ジョナサン鷺宮店","鷺宮三丁目46番17号","03-5373-7385","なし","有り","鷺ノ宮駅より徒歩6分","施設に直接お問合せください。","139.640299328459","35.7258540710685","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺宮すこやか福祉センター","若宮三丁目58番10号","03-3336-7111","有り","有り","鷺ノ宮駅より徒歩5分","午前8時半から午後5時【休館日】日曜、祝日、年末年始","139.640324577746","35.7222546585805","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"若宮児童館","若宮三丁目54番7号","03-3330-7899","有り","有り","鷺ノ宮駅より徒歩7分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.640835221202","35.7201935454741","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"マルエツ(中野若宮店)","若宮二丁目42番1号","03-5373-5601","なし","有り","都立家政駅より徒歩10分","施設に直接お問い合わせください。","139.642005274617","35.7166877190867","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"鷺宮児童館","鷺宮三丁目40番13号","03-3337-8430","有り","有り","都立家政駅より徒歩5分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.642148415706","35.7245616387762","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"西大和公園","大和町四丁目50番","","なし","有り","都立家政駅より徒歩20分","","139.64308569023","35.7141174261723","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"若宮公園","若宮三丁目21番","","なし","有り","都立家政駅より徒歩5分","","139.643522744952","35.7216127649546","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"都立家政駅","鷺宮一丁目16番1号","03-3330-1546","なし","有り","","施設に直接お問い合せください。","139.644529083003","35.722345496727","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"美鳩ライブラリー","大和町四丁目26番5号美鳩小学校内","03-3330-8160","有り","有り","野方駅より徒歩20分","午前10時から午後7時火、木、土、日曜日、祝日開館※夏季休業日等は毎日開館（中央図書館の休館日を除く）※学校図書館は、土、日曜日、夏季休業日等のみ開館","139.645041100088","35.7144758684607","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"大和西児童館","大和町四丁目14番9号","03-3330-5399","有り","有り","都立家政駅より徒歩15分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.64640894165","35.7144262438225","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"コープみらいコープ中野鷺宮店","鷺宮二丁目18番8号","03-5364-9027","なし","有り","都立家政駅より徒歩10分","午前9時から午後10時45分","139.647787773995","35.7261054613632","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"大和区民活動センター","大和町二丁目44番6号","03-3339-6141","なし","有り","都立家政駅より徒歩15分","午前8時半から午後10時（年末年始、その他定期清掃日等を除く）","139.648953461681","35.713582810141","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"丸山保育園","丸山二丁目27番16号","03-3337-7106","有り","有り","野方駅より徒歩10分","月曜日～土曜日（祝日、年末年始を除く）午前8時半から午後5時","139.649857767315","35.7257999426986","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"北原児童館","野方六丁目35番13号","03-3337-9632","有り","有り","野方駅より徒歩5分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.650668423285","35.721253744141","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"大和児童館","大和町二丁目8番12号","03-3330-3261","有り","有り","野方駅より徒歩10分","午前10時から午後6時土曜日と学校休業日は午前9時から午後5時【休館日】月曜日、日曜日、祝日、年末年始","139.651663629148","35.7159471793285","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"大和公園","大和町二丁目8番","","なし","有り","野方駅より徒歩8分","","139.651703508497","35.7156632839729","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"ガスト野方店","野方五丁目29番1号","03-5327-3591","なし","有り","野方駅より徒歩2分","施設に直接お問合せください。","139.652724243768","35.7188372018803","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"野方駅","野方六丁目3番3号","03-3338-2613","なし","有り","","施設に直接お問合せください。","139.652786116187","35.7195845258289","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
"野方区民活動センター","野方五丁目3番1号","03-3330-4121","有り","有り","野方駅より徒歩2分","午前8時半から午後10時(年末年始、その他定期清掃日等を除く)","139.653372525234","35.7183322407295","授乳やおむつ替えできる施設（赤ちゃんほっとスペース）"
